dimension	item	evidence	finding	classification	minimum_safe_remediation	dependencies	risk	acceptance_criteria	rollback_boundary
3-layer-violations	storage boundary for UI	eslint.config.js:123-171 392-446; V-1 census 19 files type-import @/storage/local/types (was 17)	Type-only storage imports allowed by policy; runtime value imports zero outside 2 documented app-shell exceptions	PRESERVE	none	none	low	census stays type-only; eslint green	n/a
3-layer-violations	presentation layer unguarded	eslint.config.js:249-270 (only no-explicit-any); presentation/catalogPresentation.ts:9 value-imports @/application/input/englishNumeric; 14 application files import @/presentation (e.g. statementService.ts:126)	Module-level bidirectional entanglement presentation<->application; no written rule defines direction; file-level acyclic so cycle guard silent	FIX_NOW (declare rule + document position); code PRESERVE	one no-restricted-imports pattern + layer declaration in ARCHITECTURE.md; owner decides target direction	Wave B; OWNER_DECISION_REQUIRED for direction change	medium (financial formatting truth lives in presentation)	all current files pass new rule; boundary fixture added in check-layer-boundaries.test.mjs	revert eslint.config.js commit
3-layer-violations	root-level test files outside lint	glob analysis: ~93 client/src/*.test.* match no config block; >=5 import @/storage/local freely (e.g. CashJourneys.dom.test.tsx)	Zero ESLint rules apply to the largest test cohort; mechanical-boundary guarantee silently excludes them	FIX_NOW (config-only)	add root-test block mirroring page-test rules	none	low	pnpm lint green at 37-warning cap with new block	revert eslint.config.js commit
3-layer-violations	contexts/pwa/lib unguarded	eslint.config.js:249-270; pwa imports app/components verified sane	No boundary rules for three small layers	DEFER	fold import rules into Wave B	Wave B	low	rules added; current files green	revert config
3-layer-violations	runtime cycles	scripts/check-runtime-cycles.mjs (AST, value-imports only; type-only cycle types.ts<->supplierScheduleCommitGuard documented)	0 runtime cycles (CI evidence; NOT_EXECUTED by audit)	PRESERVE	none	none	low	guard stays wired in pnpm guards	n/a
3-layer-violations	V-3 component->page edge	components/finance/FinancePeriodResultSection.tsx:12 type-imports FinanceState from @/pages/Finance	Single registered component->page type edge; legal (only application/storage are banned from UI)	PRESERVE (registered)	move type to application-owned module when that service is next touched	none	low	edge count stays 1	n/a
4-duplication	two field systems	Field primitive 0 production consumers vs .micro-field in 75 files (370 bare + 95 error + 17 grid + 15 hint + 3 wide)	Inline class system is the de-facto standard; primitive exists unused; owner D-08 defers convergence	DEFER (D-08 record)	none now; census updated by this audit	owner decision D-08	medium (drift grows: 65->75 files since last census)	census tracked in wave evidence; no silent growth of new Field consumers	revert n/a (no change)
4-duplication	dual .micro-field-error definition	index.css:1052 (inline red text) vs index.css:4219 (boxed bg+border)	Two visual grammars merged by cascade; survived WS-183 consolidation of 6 other dual selectors	FIX_NOW (CSS-only)	consolidate or rename after computed-style audit of consumers	Wave C	low-medium (visual regression on error states)	single definition; 2-theme captures of affected forms green	revert CSS commit
4-duplication	formatMoneyMinor hotspots	OrderDetail 26; DirectSaleEditor 16; OwnerEntitlement 11; Finance 8; AssetDetail 6; DeliveryReview 5 (grep census)	Call-site density against canonical formatters.ts; not logic duplication but change-impact concentration	PRESERVE	keep census as impact map	for matter to formatter contract changes	low	census refreshed at each audit	n/a
4-duplication	class namespaces	index.css 1205 .micro-* selectors vs styles/primitives.css 81 .micro-prim-*	Namespaced overlap; no selector collision; conceptual duplication only	DEFER (D-08 family)	none	owner decision	low	no .micro-prim-* name added to index.css and vice versa	n/a
4-duplication	navigation truth	x4 sources: navigation.ts 56L; navigationContract.ts 216L; routeClassifier.ts 85L; MicroRouter.tsx 257L; guarded by routeKnowledgeSync.test.ts 332L (STR-010)	Multi-source but machine-synced; strongest anti-drift mechanism in repo	PRESERVE (model pattern)	none	none	low	routeKnowledgeSync green; new routes must be classified	n/a
4-duplication	MoneyWithUnit vs literal composition	MoneyWithUnit 1 consumer (Finance) vs MoneyValue + unit literal ~50 files	Documented divergence (density-gate counting + unit contract)	DEFER (registered)	none	owner decision	low	divergence list stays documented in SCREEN_COMPOSITION_MAP	n/a
5-discoverability	live-record entry staleness	current-state.md header line 4 says updated 18/19 Sep while §74 is 2026-09-24	First mandated reading opens with stale header; latest truth requires scrolling 1518 lines	PRESERVE + Wave A	header date + pointer to latest section	Wave A	low	header matches newest section date	n/a
6-layering	composition root	app/PrototypeServicesContext.tsx 367L: createBrowserLocalStore + ~47 services constructed; pages via usePrototypeServices	Single composition root; storage instantiation confined to 2 documented exceptions (STR-037)	PRESERVE	none	none	low	eslint STR-037 fixtures green	n/a
6-layering	page-level service construction	pages/ReceivedLoanDetail.tsx:62 ReceivedLoanEditor.tsx:86 Loans.tsx:20 use getPrototypeLocalStore() + new module.ReceivedLoanService(...); statementMarkdownService inside Statement.tsx	Documented intentional deviations (bundle budget, lazy loading EXE-014/D-034); bypass composition root registration	PRESERVE (documented)	consider a lazy-service registry if count grows	bundle budget dependency	low-medium (untracked construction sites)	deviations stay enumerated in ARCHITECTURE.md; count not grown silently	n/a
6-layering	entity touchpoints registry	docs/quality/persistent-entity-touchpoints.json (37 stores + 3 local records) + scripts/check-entity-touchpoints.mjs	Manifest<->code<->test-paths verified by guard; honest-limits policy stated	PRESERVE	none	none	low	guard PASS in pnpm guards	n/a
7-test-mapping	coverage shape	client/src 271 test files; root journeys ~93; colocated page tests 11 pages/13 files; component dirs with 0 dedicated tests: finance(14) catalog(4) owner(3) settings(4) security(3) presentation(5)	Behavioral coverage concentrated in journey suites; component layer has no unit-level net	DEFER (targeted only)	add dedicated tests only with next functional change per component	none	low	journey suites keep referencing all pages	n/a
7-test-mapping	render-smoke route lag	R2.renderSmoke.test.tsx 56 literals vs MicroRouter 66 Route elements; 9 patterns missing (finance/recurring x4; finance/more; finance/upcoming; loans/received x2; legacy redirect)	The only cross-route x cross-theme sweep lags the router by 9 routes	FIX_NOW (test-only)	add 9 literals to existing list	none	low	smoke green 2 themes; pattern diff empty	revert test commit
7-test-mapping	thin dedicated coverage	CashWalletEditor G5DeclarationEditor ReceivedLoanDetail CashAdjustmentEditor CashReversalEditor AgreementEditor InventoryReversalEditor SharePreview (1-3 suites each)	All render-smoked; behavioral depth thin on 8 editors/details	DEFER	none now; register as coverage debt list	none	low	list recorded in findings.md §8	n/a
8-docs-mapping	AGENTS.md numeric limits	AGENTS.md §10 line 130 says 36/28; §11.3 line 140 says 35/27; storage/local/types.ts:55,71 = 38/30 (raised by FIN-002 5caddeb then FIN-001 c4b412a)	Internal contradiction + both values stale vs code; code side pinned correctly by group6Docs.test.ts:99-101	FIX_NOW (docs)	update §10/§11.3 to 38/30 or annotate historical	Wave A; owner gate	low	group6Docs + prose agree with types.ts	revert docs commit
8-docs-mapping	PR #159 merge-status drift	current-state.md §37-41 + todo.md:116-126 say "PR #159 open and unmerged, main@4af025d"; git: merged c0469e2 2026-09-13, main now c02fb45	Live operational record contradicts git history on the entire four-group plan status; doc-pin tests freeze the stale strings (group2ClosureDocs.test.ts:24,48,62,70,85; group6Docs.test.ts:141)	FIX_NOW (docs + test re-baseline; OWNER_DECISION_REQUIRED)	Wave A: closure lines + todo checkbox + re-baseline pin tests	Wave A	low (docs) but governance-critical	all doc-pin tests assert post-merge truth; no doc claims main@4af025d	revert docs+tests commit
8-docs-mapping	ARCHITECTURE.md stale counts	apps/prototype-web/ARCHITECTURE.md: "32 object stores, schema 35" unlabeled; services 44 pinned at 9a8c949 (now 53; 47 new in root)	Store/schema counts stale and unlabeled; service count honestly labeled but outdated	FIX_NOW (docs)	update counts to 37/38 + 53 @ c02fb45	Wave A	low	counts match git census	n/a
9-route-trace	10-route sample	traces for / /finance /orders/:id /catalog /finance/owner-entitlement /finance/new/:type /suppliers/purchase/:id /tools/integrity /setup /loans/received/:id (findings.md §8)	Chains route->page->service->domain->storage are clean and consistent; ownership guarded by contract 40 test	PRESERVE	none	none	low	traces reproducible from imports	n/a
9-route-trace	Finance breadth	pages/Finance.tsx imports 10+ services (composition reads)	Heaviest orchestrator but read-composition is its declared role; no financial rule in UI (enforced)	PRESERVE	none	none	low	ownership test green	n/a
10-prior-scans	planning scan docs	read ARCHITECTURE_SCAN.md IMPORT_BOUNDARIES.md SCREEN_COMPOSITION_MAP.md SOURCE_OF_TRUTH_MATRIX.md COMPONENT_CATALOG.md FEATURE_PATTERN_CATALOG.md (44/34/43/84/25/32 lines)	W0 re-verification claims re-confirmed at c02fb45 with deltas (routes 57->66; V-1 17->19; index.css 6962->6837; micro-field files 65->75; header/wordmark dual-definition fixed; micro-field-error dual persists)	PRESERVE (avoid re-registering known findings)	none	none	low	deltas recorded in this report	n/a
10-prior-scans	external canonical scan v1	audits/micro/structure-architecture-code-organization-scan-v1.md @ 17b264c — outside this environment	Referenced as authority by AGENTS.md §11 and current-state; content UNVERIFIED here; in-repo re-verification used instead	UNVERIFIED (external)	none	none	n/a	n/a	n/a
governance	groups 8-11 actual status	git merge c0469e2 ancestor of HEAD (241 commits after); current-state §37-41; todo 122 unchecked umbrella	Four-group plan complete AND merged; the still-open-gate premise is outdated; any new structural work needs a fresh owner decision (plan exhausted)	PRESERVE + Wave A record sync	Wave A	owner gate	low (record accuracy)	governance records match git	n/a
