token	definition_value	section	aliases	direct_consumer_count	alias_mediated_refs	via_parent_chains	total_reach	example_files	routes	dark_binding	tests_guards	semantic_risk	notes
--vf-text-title-sm-size	1.25rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	
--vf-text-title-sm-line	1.3	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-title-sm-weight	700	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-section-size	1.125rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-section-line	1.4	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-section-weight	600	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-card-title-size	1rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	
--vf-text-card-title-line	1.4	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-card-title-weight	600	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-body-size	0.9375rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	3	0	0	3	primitives.css:3	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	components/primitives/primitives.test.tsx	none	
--vf-text-body-line	1.6	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-body-weight	400	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-button-size	1rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	
--vf-text-label-size	0.8125rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	15	0	0	15	index.css:9, primitives.css:6	all routes (global CSS grammar: index.css/primitives.css)	not-rebound (light value cascades)	V2Surface.w183.surfaceAudit.test.ts, components/primitives/primitives.test.tsx	low	
--vf-text-label-line	1.4	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-label-weight	500	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-caption-size	0.75rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	components/primitives/primitives.test.tsx	none	
--vf-text-caption-line	1.5	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-caption-weight	400	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-kpi-size	1.5rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-kpi-weight	600	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-kpi-hero-size	1.75rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-kpi-hero-weight	600	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-amount-size	0.9375rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	components/primitives/primitives.test.tsx	none	
--vf-text-amount-weight	600	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-amount-input-size	1.5rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-amount-input-weight	600	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-font-sans	"Alexandria", "IBM Plex Sans Arabic", system-ui, sans-serif	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none: DEAD at bridge: index.css declares its own --font-arabic literal chain (duplicate font-stack source).	
--vf-font-mono	"IBM Plex Mono", ui-monospace, monospace	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none: DEAD at bridge: index.css --font-numeric is the live duplicate.	
--vf-motion-press	100ms	Motion (V2 timing system)	-	2	0	0	2	primitives.css:2	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	Consumed by primitives transitions.
--vf-motion-fast	150ms	Motion (V2 timing system)	-	3	0	0	3	primitives.css:3	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	
