route_path	page_component	source_file	owner_area	primary_user_task	content_types	key_interactive_components	states_present_in_code	states_missing	shared_consumers	v2_adaptation_status	evidence_class	recommendation
/direct-sales/:id	DirectSaleEditor	pages/DirectSaleEditor.tsx	العمل/المالية	Correct an existing direct sale (تصحيح بيع مباشر)	same form prefilled; correction semantics	fields; save; guard	loading; error; not-found safe state	—	same as /direct-sales/new	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/schedule	Schedule	pages/Schedule.tsx	العمل/المواعيد	See capacity + appointments and manage them	agenda; capacity layer; recurrence layer; warnings	list rows; layers (deep-link focus=capacity|recurrence); StatusChip; EmptyState	loading; error; empty (EmptyState); capacity warning; no-data honesty	offline (D-02); charts (D-01 DEFERRED)	Button; MoneyValue; EmptyState; StatusChip	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/schedule/:id	ScheduleEditor	pages/ScheduleEditor.tsx	العمل/المواعيد	Create/edit one appointment	appointment fields; recurrence options	fields; save; guard	loading; error; not-found (الموعد غير متاح محليًا)	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/finance	Finance	pages/Finance.tsx	المالية	Read position now (الوضع الآن) or period summary (ملخص الفترة) and act	position cards; obligations card; cash horizon 7/30/90; owner card; pulse; events+corrections layers; period result نتيجة الفترة المسجلة	tabs (الوضع الآن/ملخص الفترة); openable position cards; horizon control; event feed; ?layer= deep-links; per-block retry	loading (جارٍ قراءة الوضع المالي المحلي…); full error; per-block fallback + retry (G-005); unknown to غير متاح/غير مسجل (never fake 0); recorded_only vs incomplete	offline (D-02); charts (D-01)	Button; MoneyValue; DisplayValue; RestatementNote	shared-grammar-only (capture 05/11 full page)	VERIFIED	PRESERVE structure; DEFER copy-density reduction (cap 332 = 11x the §10.1 target of 30) behind owner record (OWNER_DECISION_REQUIRED)
/finance/new/owner_withdrawal_cash	OwnerWithdrawalLegacyRedirect (redirect)	app/MicroRouter.tsx:98-102	المالية	Legacy parallel withdrawal writer redirects to unified entrance	redirect to /finance/withdraw preserving query	n/a (redirect)	none	none	n/a	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE (anti-parallel-writer shim)
/finance/new/:type	FinancialEventEditor	pages/FinancialEventEditor.tsx	المالية	Register a typed financial event	typed fields; effect preview; wallet destination	fields; EventEffectPreview; save; guard	loading; error; per-type validation	—	Button; MoneyValue; Field; DisplayValue; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE; watch copy cap 175
/finance/withdraw	OwnerWithdrawalEditor	pages/OwnerWithdrawalEditor.tsx	المالية	Unified entrance: سحب من المشروع لنفسك؟ routed to the correct writer	routing question; destination wallet; reserve context	fields; choice; save; guard	loading; error; empty-new	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/finance/owner-entitlement	OwnerEntitlement	pages/OwnerEntitlement.tsx	المالية	Read the unified owner-money ledger (مال المالك)	owner capital/withdrawals ledger; policies; forms	ledger rows; policy forms; action buttons	loading; error; empty (EmptyState); no-data honesty	—	Button; MoneyValue; EmptyState; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/finance/g5/declaration	G5DeclarationEditor	pages/G5DeclarationEditor.tsx	المالية	Declare a collection or near obligation (تحصيل أو التزام قريب)	declaration form; choices	fields; ChoiceRow; save; guard	loading; error	—	Button; ChoiceRow; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/suppliers/purchase/:id	SupplierPurchaseEditor (gated on new)	pages/SupplierPurchaseEditor.tsx	المالية/الموردون	Register or correct a supplier purchase	purchase form; payment status; receipt-movement bridge (?purchase=)	fields; save; guard; CapabilityCreateGate	loading; error; not-found safe state; capability-disabled mode	—	Button; MoneyValue; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/suppliers/purchase/:id/payment	SupplierPurchaseEditor	pages/SupplierPurchaseEditor.tsx	المالية/الموردون	Record payment against a purchase	same form in payment mode	fields; save; guard	loading; error; not-found	—	same as purchase row	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/suppliers	Suppliers	pages/Suppliers.tsx	المالية/الموردون	See suppliers, purchases, and what is owed (due/aging)	supplier list; purchase history; due aging	rows; due rows; entry buttons	loading; error; empty; no-data honesty	—	Button; MoneyValue; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/cash	CashWallets	pages/CashWallets.tsx	المالية/محافظ الكاش	Answer أين يوجد الكاش الآن؟ wallet by wallet	wallet cards; unallocated cash; continuity	navigate rows; create wallet; distribute/count entries	loading; error (تعذر قراءة محافظ الكاش); honest later-actions (عدّ الصندوق — لاحقًا; تحويل — لاحقًا); unknown-opening stamp	—	Button; MoneyValue; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/cash/wallet/new	CashWalletEditor	pages/CashWalletEditor.tsx	المالية	Create a wallet (أين يوجد الكاش الآن؟)	name/kind form	fields; save; guard	loading; error	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/cash/wallet/:id	WalletLedger	pages/WalletLedger.tsx	المالية	Read one wallet ledger (دفتر المحفظة)	ledger rows; effect words; balances	rows; reversal entries; links	loading; error; empty (empty ledger honest)	—	Button; MoneyValue; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/cash/wallet/:id/opening-later	CashOpeningLaterEditor	pages/CashOpeningLaterEditor.tsx	المالية	Complete unknown opening balance later (documented addition, D-004)	opening-balance form	fields; save; guard	loading; error; known-vs-unknown honesty	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/cash/wallet/:id/adjust	CashAdjustmentEditor	pages/CashAdjustmentEditor.tsx	المالية	Adjust declared wallet cash (اضبط كاش …)	adjustment form with reason	fields; save; guard	loading; error; not-found (لم نجد محفظة الكاش)	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/cash/entry/:id/reverse	CashReversalEditor	pages/CashReversalEditor.tsx	المالية	Reverse a cash entry (تراجع عن هذا الأثر)	reversal review + reason	review; confirm; guard	loading (جارٍ فتح الأثر…); error; not-found	—	Button; MoneyValue; Field; DisplayValue	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/cash/transfer	CashTransferEditor	pages/CashTransferEditor.tsx	المالية	Move cash between wallets (تحتاج محافظتين للتحويل)	transfer form; source/destination	fields; selects; save; guard	loading; error; insufficient-wallets honest block	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/cash/distribute	CashDistribution	pages/CashDistribution.tsx	المالية	Distribute unallocated cash (وزّع الكاش غير الموزع)	distribution form; destination; cover mode (?mode=cover)	rows; fields; save; guard	loading; error; zero-unallocated honesty	—	Button; MoneyValue; DisplayValue; UnsavedChangesGuard	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/cash/count	CashCount	pages/CashCount.tsx	المالية	Count the drawer for real (عدّ اللي في الدرج فعلًا)	count sheet; expected vs counted; settlement	count inputs; confirm settlement; guard	loading; error; settlement result	—	Button; MoneyValue; DisplayValue; UnsavedChangesGuard	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/collect	Collect	pages/Collect.tsx	المالية/العمل	Collect a debt or record a deposit (عربون أو تحصيل) from approved entrances	context-aware collection form; source selection	fields; source select; save; guard	loading; error (تعذر فتح ورقة التحصيل); amount entry; success state	—	Button; MoneyValue; Notice; DisplayValue; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/inventory	InventoryMaterials	pages/InventoryMaterials.tsx	العمل/المخزون	Known material balances + movements + low stock	material rows; movement history; low-stock warnings	rows; confirm balances; movement entries; StatusChip	loading; error; empty; low-stock; unknown-balance honesty	—	Button; MoneyValue; StatusChip; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/inventory/material/new	MaterialEditor (gated)	pages/MaterialEditor.tsx	العمل/المخزون	Create a material	material form	fields; unit select; save; guard; CapabilityCreateGate	loading; error; capability-disabled mode	—	Button; MoneyValue; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/inventory/material/:id/confirm	MaterialEditor (confirm mode)	pages/MaterialEditor.tsx	العمل/المخزون	Confirm an existing material balance (documented correction, عقد ٢٨)	same component in confirm mode	fields; save; guard	loading; error; not-found	—	same as material/new	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/inventory/movement/:type	InventoryMovementEditor (gated)	pages/InventoryMovementEditor.tsx	العمل/المخزون	Record receipt/consume/waste/adjustment movement	movement form; material select (?material=)	fields; save; guard; CapabilityCreateGate	loading; error; capability-disabled mode	—	Button; MoneyValue; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/inventory/movement/:id/reverse	InventoryReversalEditor	pages/InventoryReversalEditor.tsx	العمل/المخزون	Reverse a movement (documented)	reversal review	review; confirm; guard	loading; error; not-found	—	Button; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/catalog	Catalog	pages/Catalog.tsx	العمل/منتجاتي وخدماتي	What do I repeat, at what price, is it profitable?	items; units; readings; templates (4 sections)	sections; item rows; create/edit; planned cost	loading; error; empty per section; unit-state honesty	—	UnsavedChangesGuard + components/catalog/* sections	shared-grammar-only (captures 13-15 list base with real item)	VERIFIED	PRESERVE
/tools	Tools	pages/Tools.tsx	أدواتي	Think before committing: calculator + saved estimates + unit state	tool entries; saved-estimates list	rows; open calculator; open estimate; delete estimate	loading; error; empty (no estimates)	—	Button; MoneyValue; DisplayValue	shared-grammar-only (captures 08/09)	VERIFIED	PRESERVE
/tools/calculator	CostCalculator	pages/CostCalculator.tsx	أدواتي	Cost/price calculator with zero financial effect (حاسبة التكلفة والسعر)	calculation form; live totals; save as estimate	fields; live computed values; save; guard	loading; error; empty	—	Button; MoneyValue; DisplayValue; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/tools/estimate/:id	EstimateDetail	pages/EstimateDetail.tsx	أدواتي	Read + act on a saved estimate (no second editor)	estimate read view; derived prices	rows; convert action; delete	loading; error; not-found	—	Button; MoneyValue; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/tools/integrity	ToolsIntegrity	pages/ToolsIntegrity.tsx	المالية/أدواتي	Account-integrity check reader (سلامة الحسابات)	check results; issues; guidance	rows; re-run; navigate to problem sources	loading; error; clean vs issues states	—	Button; MoneyValue; DisplayValue	shared-grammar-only (visual entry now المالية ← المزيد)	VERIFIED	PRESERVE
/assets	Assets	pages/Assets.tsx	المالية	Read asset list and its book story	asset rows; values; depreciation words	rows; create; open detail	loading; error; empty (EmptyState)	—	Button; MoneyValue; EmptyState; Row; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/assets/new	AssetEditor	pages/AssetEditor.tsx	المالية	Buy for long-term use (شراء للاستخدام الطويل)	asset form; classification choice	fields; ChoiceRow; save; guard	loading; error	—	Button; ChoiceRow; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/assets/:id	AssetDetail	pages/AssetDetail.tsx	المالية	Read one asset story (depreciation, revaluation)	asset detail; history	rows; corrections; actions	loading; error; not-found	—	Button; MoneyValue; Field; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/loans	Loans	pages/Loans.tsx	المالية	Read loans given (borrower obligations)	loan rows; outstanding totals	rows; create; open detail; RepaymentSheet	loading; error; empty (EmptyState)	—	Button; MoneyValue; EmptyState; DisplayValue; RepaymentSheet	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/loans/new	LoanEditor	pages/LoanEditor.tsx	المالية	Register a loan given	loan form	fields; save; guard	loading; error	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/loans/:id	LoanDetail	pages/LoanDetail.tsx	المالية	Read one loan + record repayment	loan detail; repayment history	rows; RepaymentSheet; corrections	loading; error; not-found	—	Button; MoneyValue; DisplayValue; RepaymentSheet	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/loans/received/new	ReceivedLoanEditor	pages/ReceivedLoanEditor.tsx	المالية	Register a received loan (borrowing commitment, WS-178)	loan form	fields; save; guard	loading; error	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/loans/received/:id	ReceivedLoanDetail	pages/ReceivedLoanDetail.tsx	المالية	Read one received loan + repay	detail; repayment history	rows; ReceivedLoanRepaymentSheet	loading; error; not-found	—	Button; MoneyValue; DisplayValue; ReceivedLoanRepaymentSheet	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/parties	Parties	pages/Parties.tsx	المالية/دفتر الناس	Who owes me / whom do I owe (دفتر الناس)	people rows; receivable/payable totals	rows; open order/debt; collect entry	loading; error; empty; zero-debt honesty	—	Button; MoneyValue; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/finance/more	FinanceMore	pages/FinanceMore.tsx	المالية	Organized reader for the rest of finance (المزيد من المالية)	links: سلامة الحسابات; ملخصات وتقارير; أدوات متقدمة; المالك والسياسات	navigation rows (settings-list pattern)	none (static reader, no async reads)	skeleton/offline n/a by design	Button	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/finance/upcoming	FinanceUpcoming	pages/FinanceUpcoming.tsx	المالية	Unified upcoming reader (القادم والاستحقاقات)	upcoming items; due dates; aging	rows; follow-up actions	loading; error; empty; no-data honesty	—	Button; MoneyValue; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/finance/recurring	FinanceRecurring	pages/FinanceRecurring.tsx	المالية	Recurring-expense reminders list (المصاريف المتكررة)	reminder rows; next-due; status; cancelled/archived collapsed details	rows; create; open detail	loading (جارٍ قراءة تذكيراتك…); failed+retry (role=alert); empty (لا تذكيرات متكررة بعد); operational-empty (لا تذكيرات عاملة)	offline (D-02)	Button; LocalDateValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/finance/recurring/new	RecurringExpenseEditor	pages/RecurringExpenseEditor.tsx	المالية	Create a recurring-expense reminder	fields; schedule pattern	fields; save; guard	loading; error	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/finance/recurring/:id	RecurringExpenseDetail	pages/RecurringExpenseDetail.tsx	المالية	Read one reminder + occurrences + actions	detail; occurrence history; skip/record	rows; record expense; dialog confirm	loading; error; empty occurrences	—	Button; MoneyValue; StatusChip	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/finance/recurring/:id/edit	RecurringExpenseEditor	pages/RecurringExpenseEditor.tsx	المالية	Edit a future reminder (guarded deep editor)	prefilled form	fields; save; guard	loading; error; not-found	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/finance/statement	Statement	pages/Statement.tsx	المالية	Simple period statement linking every line to its source (كشف الفترة)	period selector; statement lines; totals	date inputs (بداية/نهاية نطاق نتيجة الفترة); rows; export/share	loading; error; empty period; recorded-only honesty	—	Button; MoneyValue; DisplayValue	shared-grammar-only (320w capture)	VERIFIED	PRESERVE; DEFER copy-density reduction (cap 224) to owner ratchet
/finance/activity	FinanceActivity	pages/FinanceActivity.tsx	المالية	Full activity reader (آخر ما حدث كاملاً)	unified activity rows; effect words; amounts; filters	rows; filter; open source	loading; error; empty (EmptyState)	—	Button; MoneyValue; EmptyState; StatusChip; DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/share/preview	SharePreview	pages/SharePreview.tsx	المالية/النظام	Review+edit shared text manually before it leaves the device (معاينة المشاركة)	editable share text; privacy truth	textarea; share/copy buttons; notice	notice states; no-source safe state	—	Button; manual share/copy helpers	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/orders	Orders	pages/Orders.tsx	العمل	Answer ما حالة عملي؟ (orders, sales, drafts, schedules)	orders list; direct sales; drafts; schedules; quick entries	list rows; StatusChip; EmptyState (يومك مفتوح — سجّل أول بيع)	loading (جارٍ تحميل الطلبات المحلية…); error (تعذر تحميل الطلبات); empty; per-section no-data	—	Button; EmptyState; StatusChip; MoneyValue	shared-grammar-only (capture 06)	VERIFIED	PRESERVE
/market	Market	pages/Market.tsx	السوق	Honest coming-soon supplier-market announcement (no fake function)	soon card; truth line; back	button (رجوع لمشروعي)	soon (single state)	none needed by design	Button; useReturnPath	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE (honest announcement per NAV-001)
/review	Redirect to /finance	app/MicroRouter.tsx:233-235	المالية	Legacy review route absorbed into finance pulse	redirect	n/a	none	none	n/a	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/settings	Settings	pages/Settings.tsx	الإعدادات	Control system: appearance, capabilities, data protection, backup, guided import	settings sections (4 section components)	toggles; PIN gates; export/import; DataActionPinGate dialogs	loading; error; lock-gated states	—	Button; DataActionPinGate; AppLockGate integration; settings section components	shared-grammar-only (captures 08/09 real theme toggle)	VERIFIED	PRESERVE
/profile	Profile	pages/Profile.tsx	الحساب/الإعدادات	Owner identity + email (account completeness)	profile form; completeness state	fields; save; guard	loading; error; empty (أكمل إعداد الحساب state)	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (logo-menu capture 16)	VERIFIED	PRESERVE
/* (catch-all)	NotFound	pages/NotFound.tsx	النظام	Honest 404 with one clear escape (هذه الصفحة ليست جزءًا من هذا الإصدار)	404 copy + CTA	single button to /	single state	none by design	Button	PRESERVED_INTENTIONALLY per WS-183 matrix row 12	VERIFIED	PRESERVE
SHELL-OVERLAY: QuickActionSheet	QuickActionSheet (lazy via quickRecording provider)	components/layout/QuickActionSheet.tsx	مركز/المالية	Record sale/expense in place over any surface; menu routes order/estimate/collection	menu + sale-form + expense-form + receipt + confirm-discard (5 modes)	bottom Drawer; form fields; wallet select; category suggestions; receipt CTA	open/closed; dirty-confirm (في رقم مكتوب — تسجّله أو تتجاهله؟); saving; receipt success; attribution-failure note	forms persist across menu/form via hidden mount (no silent reset)	Drawer (vaul); QuickSaleForm; QuickExpenseForm; Button	shared-grammar-only (captures 17/18)	VERIFIED	PRESERVE
SHELL-OVERLAY: logo-menu	AppHeader menu	components/layout/AppHeader.tsx:258-290	النظام/الحساب	Open account / project data / settings from anywhere with return context	menu 2 groups + local-data note (بياناتك محفوظة على هذا الجهاز)	logo button (>=44px, aria); menuitems; keyboard arrows	open/closed; account-complete data-state; focus restore	—	BrandMark; withReturnTo links	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE (V2 account-panel variant DEFERRED OD-10)
SHELL-OVERLAY: soon-panels	AppHeader transport/assistant panels	components/layout/AppHeader.tsx:291-317	النظام	Honest قريبًا panels for النقل والتوصيل + اسأل Micro	dialog copy + footer truth + close	close button; backdrop; focus trap; Escape	open/closed; focus management	—	—	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE (matches V2 GLB-ASK/GLB-DELIVERY honest-deferred intent)
SHELL-OVERLAY: AppLockGate	AppLockGate	components/security/AppLockGate.tsx	النظام/الأمان	Local lock cover after idle return (عقد ٣٧)	PIN gate cover	PIN inputs; unlock; idle tracking	locked/unlocked; idle relock	same-device trust assumptions (by design)	DataActionPinGate sibling	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
SHELL-OVERLAY: BrandLaunchSplash	BrandLaunchSplash	components/brand/BrandLaunchSplash.tsx	first-run	One-shot branded launch splash until startup gate settles (W3)	splash animation; brand mark	none (auto-dismiss; motion bounded)	splashActive; gateSettled	reduced-motion on real device NOT_EXECUTED (DEVICE-001)	—	brand palette via tokens (foundation wave)	VERIFIED	PRESERVE
SHELL-STATE: StartupGate	StartupGate	app/StartupGate.tsx	first-run	Local boot gate; first-time owner to /setup; storage failures explained	loading text (جارٍ فتح مشروعك المحلي…); recovery cards (4 storage-failure codes)	retry button; recovery routes (setup/settings)	loading; ready; error with per-code copy	—	Button	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
SHELL-STATE: route loading	RouteLoadingState	app/MicroRouter.tsx:251-257	النظام	Suspense fallback while lazy route chunk loads (جارٍ فتح المسار…)	text status	none (aria-live polite)	fallback only	skeleton (D-11 DEFERRED)	—	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE (skeleton deferred by owner D-11)
SHELL-STATE: PWA notices	PwaInstallControl + PwaRuntimeNotice	pwa/PwaInstallControl.tsx; pwa/PwaRuntimeNotice.tsx	النظام	Install affordance + runtime update notices (device trust)	install prompt; update banner	buttons; banners	prompt shown/hidden; update states	update-channel edge cases untested on device NOT_EXECUTED (DEVICE-001)	—	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
