id	severity	category	evidence_class	classification	owner_decision_required	title	affected_files_routes	impact	minimum_safe_remediation	focused_evidence	acceptance_criteria	rollback_boundary
AUD-010	MED	financial-safety	VERIFIED	FIX_NOW	No	Partial tone (OD-02) not directly asserted: an info revert would pass adapter tests	stateAdapter tests	OD-02 protection gap	One-line direct assertion	Only permissible-tone sweep runs today (S4 F-05)	Test fails on tone revert	Test-only change
AUD-011	LOW	performance	VERIFIED	FIX_NOW	No	No font preload for 59.8KB Alexandria VF (FOUT on first paint)	fonts.css; client/public/fonts	first-paint flash	Add rel=preload for the VF + measure	11 woff2 all font-display swap; no preload found (S5)	No FOUT in capture; budget PASS	Revert HTML/CSS commit
AUD-012	MEDIUM	architecture	VERIFIED	FIX_NOW	Yes (direction change)	ESLint mechanical gaps: ~93 root-level test files unguarded; presentation import direction undeclared (12-14 reverse imports); contexts/pwa/lib unguarded	eslint.config.js:249-270	boundary enforcement holes	Config-only wave: add globs + declare presentation rule (direction itself owner-gated)	rg count 12 files in application/ importing presentation (S3: 14)	Fixture tests pass incl. new globs	Revert config commit
AUD-013	MED	tokens	VERIFIED	DEFER	Yes	48 of 130 bridge tokens dead at bridge level; type/motion tokens are no-ops (369 rem literals in index.css); APPROVED_18 name stale (holds 26)	vf-tokens.css; index.css	token-source clarity	Owner-gated cleanup wave using this inventory (never blind delete)	vf-action-commit family 0 consumers re-verified	Guards green; no visual delta	Revert token commit
AUD-014	MED	tokens-semantics	VERIFIED	DEFER	Yes	Semantic overload: --vf-tint triple duty (hairline x127 + support field x23 + secondary button bg); peach brand-soft four roles in light; light status merged into info while dark distinct; two scrim grammars + unused COLOR_FUNC guard	vf-tokens.css; theme-dark.css; design-token-guards.py	palette semantic confusion risk	Owner decision on role split; then tokens + guards in one wave	TOKEN-CONSUMER-INVENTORY rows carry per-token risk	Guards assert chosen semantics	Token commit revert
AUD-015	MEDIUM	architecture	VERIFIED	DEFER	Yes	Field/Row TSX convergence: 0-consumer Field primitive vs 366-370 inline .micro-field usages across 64-75 files (grew since Phase-1 census of 226)	src/pages (64-75 files)	duplication and drift risk	Owner-gated wave (fresh decision: prior plan exhausted); CSS grammar already unified	Three specialists counted 366/370/75-file variants (counting-method dependent)	Convergence contract + focused guards	Per-slice reverts
AUD-016	MEDIUM	architecture	VERIFIED	FIX_NOW-partial/DEFER	Yes (extraction)	index.css monolith 6,838 lines / 1,205 micro-* selectors; .micro-field-error retains two live base definitions (1052 and 4219)	index.css	maintainability	Consolidate dual definition now (WS-183 pattern); family extraction behind owner gate	rg confirms .micro-field-error at 1052 and 4219	Computed-style guard (WS-183 pattern)	Revert CSS commit
AUD-017	LOW	ux-states	VERIFIED	DEFER	No	Skeletons absent; loading is text-only role=status (honest but minimal)	app-wide	perceived polish	Defer with D-11 bundle strategy decision	V2 target includes skeletons; D-11 record	n/a now	n/a
AUD-018	LOW	shell	VERIFIED	DEFER	Yes	V2 Shell structural variant (no-logo header + account panel) not started; current shell is the owner-approved NAV-001 shell	shell components	direction	Owner-gated wave after IA decision	OD-10 record	n/a now	n/a
AUD-019	MEDIUM	product-ux	VERIFIED	DEFER	Yes	Five-page swipe model has NO Micro owner record either way; would collide with Home horizontal quick-actions without disabled-zones design	Home; V2 NAVIGATION-MAP 11.12	target experience sequencing	Record owner decision on swipe before any build	Zero gesture code found in src	Decision recorded	n/a
AUD-020	MEDIUM	financial-display	VERIFIED	DEFER	No	~108 prose-embedded formatMoneyMinor calls without bdi isolation; U+2212 vs ASCII minus variance in one sentence	OrderDetail (25); DirectSaleEditor (15); Statement (11); others	bidi/consistency risk in prose contexts	Standards note + gradual isolation in touched slices; formatter owns sign	S4 F-03 census	Fixture test for prose money	Per-slice reverts
AUD-021	LOW	copy-density	VERIFIED	PRESERVE	Yes	Copy-density outliers under downward-only ratchet: Finance 332 at-rest strings (11x the 30 target); Statement 224; OrderDetail 183; Home 78 (target 15)	Finance; Statement; OrderDetail; Home	cognitive load	Owner-gated reduction records; no silent cuts	text-density-count.py guard is downward-only	Owner records per screen	n/a
AUD-022	LOW	css-hygiene	VERIFIED	DEFER	No	Dead .micro-fab CSS family (0 TSX consumers; kept only as scaffold for the Nav001 absence guard)	index.css:759-797	hygiene	Fold into AUD-013/016 cleanup waves	S2 F2-10 census	Guard updated	Revert CSS commit
AUD-023	MEDIUM	product-axis	VERIFIED	DEFER	No	Offline/pending-send axis absent (and honestly not claimed anywhere)	app-wide	future product axis	Keep D-02 owner gate; never imply sync	S4: every sync/cloud string is a negation	n/a now	n/a
AUD-024	LOW	interaction-safety	VERIFIED	DEFER	Yes	Catalog unit/conversion stop chips: one-click semi-destructive with no confirm and no visible in-surface reverse (CSS itself labels it semi-destructive)	CatalogUnitsSection.tsx:144-153	accidental state-change risk	Owner-gated: confirm or visible reverse	S2 F2-08	Decision + guard	Revert TSX commit
AUD-025	MEDIUM	financial-semantics	VERIFIED	PRESERVE	Yes	Knowledge-coloring duality: amber estimated/review cards vs adapter all-neutral knowledge contract (deliberate tension; unification = semantic change)	index.css:1299/:1644; stateAdapter	semantic consistency	PRESERVE; any unification requires owner decision + freeze tests first	S4 F-04	n/a now	n/a
AUD-026	LOW	docs	VERIFIED	FIX_NOW	No	00-document-index.md indexes none of the 7 docs/architecture files (Phase-1 gap persists)	docs/00-document-index.md	discoverability	Add index entries (docs-only)	Phase-1 finding D-class; still true at c02fb458	Index lists architecture docs	Revert docs commit
RETRACTED-R1	HIGH	(none)	VERIFIED-retraction	n/a	No	RETRACTED: EstimateDetail.tsx:48 syntax error claim - display artifact (bracket-m eaten); md5 proves correct content on disk and in git blob e39955e4	EstimateDetail.tsx	none (no defect)	n/a	n/a	n/a	n/a
RETRACTED-R2	HIGH	(none)	VERIFIED-retraction	n/a	No	RETRACTED: ci.yml CI trigger corrupted claim - display artifact; md5/length prove branches: [main] correct; CI runs on main pushes, PRs, and tags	.github/workflows/ci.yml	none (no defect)	n/a	n/a	n/a	n/a
