element_or_pattern	file(s)_with_counts	semantic_type	variant(s)	states_implemented	touch_keyboard_a11y_evidence	problem	classification	minimum_safe_recommendation	consumers_risks
UnsavedChangesDialog	components/forms/UnsavedChangesGuard.tsx:211-302	safety dialog (unsaved exit)	stay; save-and-continue (text action); discard (destructive, separated via marginInlineStart auto)	isSaving disables save/discard; saveFailure role=alert inside dialog; Escape = stay (least destructive)	role=dialog aria-modal; focus trap (Tab cycle); focus to stay button on open; focus returns to trigger; beforeunload armed; history sentinel keeps form mounted on back	none — exemplary	PRESERVE	none	guard used by all editors via provider
CorrectionPreview	components/finance/CorrectionPreview.tsx:25-170; consumed by reversal/correction editors	confirmation (financial correction)	danger flag swaps commit->destructive ink	busy(disabled + busyLabel); error role=alert; required reason (empty rejected); preview dl before/after/unchanged/resulting/reversibleNote	confirm Button action commit or destructive; cancel secondary; autoFocus reason textarea	none — this IS the confirm pattern	PRESERVE	none	mandated for any financial correction
Order cancel panel	pages/OrderDetail.tsx:1086-1207	confirmation (cancel order)	reason buttons (خطأ في السعر/انسحب العميل/سبب آخر/تخطّى السبب وألغِ); quiet entry; other-reason input	isActing disables all; mandatory impact preview; deposit + non-deposit collection warnings before decision; إغلاق dismiss (vocabulary law)	buttons 48px; destructive ink on irreversible choices; panel aria-label تأكيد إلغاء الطلب	single-click destructive after panel open (documented two-step)	PRESERVE	none	AV-06 warnings encoded
Draft delete zone	pages/DraftEditor.tsx:501-533	confirmation (permanent draft delete)	quiet entry -> warning copy + final delete + إغلاق	isDeleting disables	final Button 48px labeled احذف المسودة نهائيًا + جارٍ busy word; إغلاق uses DISMISS_PANEL_CLOSE_LABEL	final delete wears action=secondary not destructive (F2-06)	FIX_NOW (F2-06 small)	switch final button to action destructive (or documented exception)	draft has no financial effect (copy states it)
Tools estimate delete confirm	pages/Tools.tsx:68-70,183-204	confirmation (estimate delete)	icon trigger -> inline confirm naming the estimate (role=alert)	confirmDeleteId state; final احذفه text-action	trigger icon-button 44px aria-label حذف تقدير X; final action text-labeled	final destructive is text-action not destructive ink	FIX_NOW (F2-06 same pass)	align ink or document exception	estimates are local-only
EventsLayer event row actions	components/finance/EventsLayer.tsx:336-344,389-424	action row (expand + correct)	expand toggle; text actions عكس/تراجع/تصحيح/حذف/استعادة (by status)	busy per action (saving disabled + جارٍ labels); success QuietCompletion; error role=alert	rows are articles; expand toggle 48px with aria-expanded + aria-controls; actions 44px text-actions; details/summary native	none beyond F2-06 family	FIX_NOW only if unifying destructive ink (F2-06)	keep preview-before-confirm chain intact	—
EventsLayer scope toggle	components/finance/EventsLayer.tsx:825-839	selection (view scope)	اعرض كل الأحداث (n) / أعرض الأحدث فقط	aria-pressed + label swap	role=group aria-label نطاق عرض الأحداث; 44px text-action	none	PRESERVE	none	honest full-record note under it
Finance layer summaries (details)	pages/Finance.tsx:748+; CSS index.css:1920-2026	disclosure navigation (assets/loans/owner layers)	summary rows with b/small/strong	open/closed via native details; :focus-visible outline; marker removed	48px summary; text labels; inner navigations via text-actions	none	PRESERVE	none	V2 row-group convergence candidate (owner)
Party entry (details) + movement buttons	pages/Parties.tsx:158-213	navigation + collect shortcut	party summary; collect shortcut حصّل من X; movement buttons to source records	summary open/closed; buttons rest	native summary; movements full-row buttons with date+label+MoneyValue showPlus; collect shortcut labeled يفتح ورقة التحصيل… ولا يُكتب شيء من الدفتر	none (read-model honesty note at bottom)	PRESERVE	none	D-003 shortcut routes to source record
Catalog item row + defaults disclosure	components/catalog/CatalogItemsSection.tsx:216-333	information row + edit disclosure + per-item sale action	details عدّل الافتراضيات (fills editor on open); save/إلغاء التعديل; per-row create سجّل بيع هذا المنتج/الخدمة	saving disables; invalid disables create	article rows non-clickable (clear); buttons explicit; native disclosure; EnglishNumberInput aria-labels	multiple create-class buttons per screen (F2-16 observation)	PRESERVE (owner-awareness note)	consider quieter class for per-row sale if primary dilution matters	Product-to-Sale deep link ?product=
Catalog units chips	components/catalog/CatalogUnitsSection.tsx:138-153	status + stop action	unit chips + stop (see micro-chip row)	see micro-chip row	see micro-chip row	see F2-08	DEFER (F2-08)	see F2-08	unit reactivation path not visible here
Statement period presets + compare toggle	pages/Statement.tsx:331-356	selection (period + compare)	preset text-actions with aria-pressed; compare toggle aria-pressed; custom range dates; compare-side select	pressed underline cue; status notes role=status	44px text-actions; selects natively labeled	none	PRESERVE	none	V2 AnchoredMenu candidate (owner, F2-15)
Parties search input	pages/Parties.tsx:136-144	input (search by name)	live filter + honest empty-results branches	rest; focus	micro-field label + aria-label بحث بالاسم; empty copy explains next step (جرّب اسمًا أقصر)	none	PRESERVE	none	V2 search-with-icon field variant candidate (D-08)
Schedule month calendar	pages/Schedule.tsx; CSS index.css:3588-3874	navigation (dates)	month prev/next icon buttons; day cells (>=92px); day list rows (64px)	selected day (2px accent border + accent-soft); today (brand bottom edge); alert (warning start edge); empty cells pointer-events none	44px nav buttons aria-label الشهر السابق/التالي; cells are buttons >=92px; day-list rows 64px with chevron	none — selection has border cue (non-color)	PRESERVE	none	date LTR isolation in cells (index.css:3740-3743)
Schedule week view rows	pages/Schedule.tsx (micro-week-day buttons); CSS index.css:2369-2402	navigation (week entries)	full-width rows with b/small + svg	rest; hover neutral	full-width buttons; text labels; 17px chevron	none	PRESERVE	none	—
Section toggles / inline disclosures (details summary)	micro-section-toggle (index.css:5569-5598); micro-inline-disclosure (5163-5192); micro-additional-details-summary (5112-5156); Settings/Finance/Catalog/OrderDetail	disclosure	three summary families	open/closed; :focus-visible outline on summary	48px min summary; native details/summary semantics; marker removed via ::-webkit-details-marker	chevron/plus affordances vary slightly across the three families	DEFER (cosmetic unification with row convergence)	unify affordance glyph when D-08 lands	template pattern #5
Logo menu items (micro-logo-menu-item)	components/layout/AppHeader.tsx:266-289	navigation menu items	2 groups + account-state data attribute	focus; hover	role=menuitem; ArrowUp/Down/Home/End; icons aria-hidden; account label adapts	none	PRESERVE	none	data-account-state hook for future badge
PIN gates (DataActionPinGate / AppLockGate)	components/security/DataActionPinGate.tsx:55-94; AppLockGate.tsx	security confirmation	password input + submit	busy; error role=alert; disabled until >=4 digits	role=alertdialog aria-modal; input labeled; submit 48px	none	PRESERVE	none	gates destructive data actions (wipe/backup)
Settings protection dialog	pages/Settings.tsx:695-708	confirmation	proceed/cancel	aria-modal dialog; ShieldAlert icon; destructive-adjacent copy	role=dialog aria-label; buttons labeled	none	PRESERVE	none	data-protection section
PwaInstallControl	pwa/PwaInstallControl.tsx; CSS index.css:3359-3425	action (install/dismiss)	install prim button; ليس الآن icon-button	rest; dismissed	44px icon-button with aria-label + title; 48px prim; card copy titled	template twin of runtime card (pattern #2)	PRESERVE	none	—
PwaRuntimeNotice	pwa/PwaRuntimeNotice.tsx; CSS index.css:3441-3510; register.ts	action (apply update / لاحقًا)	apply prim button; لاحقًا icon-button; confirmation + error branches	updateAvailable flag; error copy تعذر تطبيق التحديث الآن؛ retry	44px icon-button aria-label لاحقًا; 48px apply; auto-reload suppressed while dirty forms (register.ts:72-75)	none — honest update behavior	PRESERVE	none	dirtyRegistry bridge
ErrorBoundary recovery	components/ErrorBoundary.tsx:54-77	recovery	full-screen crash surface	role=alert; heading focus (tabIndex -1 + ref); local incident id only (privacy)	reload Button action=save; no stack traces	none	PRESERVE	none	incident recording guarded against loops
Route loading (micro-route-loading)	pages/Home.tsx:255-260; Orders.tsx:107-112; Tools.tsx:80-82; CSS index.css:412+	loading	state text جارٍ…	non-interactive	role=status (some aria-live=polite)	no skeletons (V2 StructuralLoad absent)	DEFERRED (D-11)	none	skeleton family owner-deferred
Empty states (EmptyState prim + micro-empty-state)	prim: Loans; FinanceActivity x2; Assets; Schedule; Orders (6 files); page-level micro-empty-state (index.css:554-583) + micro-empty-inline	empty/void	symbol + StatusChip + title + description + ONE action; quiet inline variant	non-interactive	aria-labelledby titles; action is a real Button; honest words (لا توجد سجلات بعد)	two parallel empty systems (template pattern #3)	PRESERVE; unification DEFER with D-08	none	V2 EmptyState 5 variants — Micro covers first-move + search-reset families
Home priority CTA	pages/Home.tsx:354-369	action (single primary)	Button action=save block + ArrowLeft	rest; active (save pressed edge)	48px full-width; actionLabel from model; ArrowLeft aria-hidden	mutually exclusive with quick-action-primary (code-enforced)	PRESERVE	none	Z1.3 one-primary rule
Home truth-line inline actions	pages/Home.tsx:337-343,402-416,480-507	navigation (inline text actions)	افتح الإعدادات; افتح أقربها; راجعها; راجع دفتر الناس; انسخ الآن	micro-text-action family	44px; Arabic labels	none	PRESERVE	none	honest notes accompany each
Setup wizard navigation	pages/Setup.tsx:349,422-433	navigation (steps)	تخطَّ المحفظة الآن (text+ArrowLeft); خطوة سابقة (ArrowRight); احفظ وابدأ (save, step 3)	saving disables; step indicator	48px buttons; arrows mirror correctly (previous = right)	none	PRESERVE	none	SET-002 success banner wired to ?setup=1
micro-later-action	index.css:2966-2984; CashOpeningLaterEditor context	action (deferred entry)	strong+small action card	rest	48px-ish card with text	niche (few consumers found)	PRESERVE	none	verify consumers in later wave
G5 direction choice + commit	pages/G5DeclarationEditor.tsx (ChoiceRow); components/finance/G5DecisionPanel.tsx	selection + commit	تحصيل/التزام choices; commit confirm for high-consequence declaration	selected via ChoiceButton contract; commit Button action=commit	see ChoiceRow; commit 48px	none — commit class reserved for high-consequence (8 uses repo-wide)	PRESERVE	none	declaration wording owner-frozen
Recurring confirm panel	components/finance/RecurringConfirmPanel.tsx	confirmation (recurring record)	preview + explicit choice (11 micro-field usages in file)	saving disables; FeedbackNote channels	buttons labeled; fields labeled	none beyond F2-06 family	PRESERVE	none	OPS-003 warning note shared via resultFeedback
Owner entitlement forms sections	components/owner/OwnerLedgerFormsSection.tsx; OwnerPolicyFormsSection.tsx (16 micro-field each)	form	save flows	saving disables; FeedbackNote channels	labeled fields; 48px buttons	none	PRESERVE	none	—
Direct sale editor actions	pages/DirectSaleEditor.tsx:940-1012	form (sale + collection decision)	difference-choice required before save; correction vs create; fieldset disabled when cancelled	saving (جارٍ الحفظ…); difference choice gating; cancelled fieldset	disabled choice buttons carry visible reason copy above; idempotency keys + in-flight guard (:100,125,323,364)	none	PRESERVE	none	fieldset-disabled pattern is honest disable-with-reason
Financial event editor actions	pages/FinancialEventEditor.tsx (14 micro-field; stale-conflict branch)	form	save; stale reload; classification menus	idempotency + in-flight (:261,273,606,657); STALE_CONFLICT_NOTE with أعد قراءة السجل الحالي action (resultFeedback.ts:12-20)	fields labeled; stale branch explains refused overwrite	none — cross-tab stale protection exemplary	PRESERVE	none	§31 contract
Collect sheet (ورقة التحصيل)	pages/Collect.tsx	transaction form (collection)	party/debt selection + amount + wallet	saving; honest preview	labeled fields; 48px buttons	none	PRESERVE	none	D-003 shortcut lands here
SharePreview	pages/SharePreview.tsx	output preview	share text preview + back	n/a	back button labeled	none	PRESERVE	none	—
Market (قريبًا surface)	pages/Market.tsx:23+	navigation (future seat)	back + soon cards	soon badges (micro-soon-card/badge)	honest قريبًا announcements	none	PRESERVE	none	nav seat 5 announced not fake
micro-soon-card / micro-soon-panel	index.css:2517-2583; Market + AppHeader panels	information	future-capability cards + panels	rest	n/a	recipe reuse (template pattern #5 family)	PRESERVE	none	—
micro-finance-event-toggle (Statement header)	pages/Statement.tsx:81,144,560	disclosure	toggle details open	aria-expanded pattern	text-action 44px	none	PRESERVE	none	—
micro-home-finance-unit actions	pages/Home.tsx:640-652	navigation (finance section)	text action صفحة الأساس + Button save (navigation)	rest	navigation wearing save class documented in-code (F2-16b)	class semantics = ordinary, not persist — owner awareness	PRESERVE (documented)	owner-awareness only	—
micro-orders-cancelled details	pages/Orders.tsx:163-171	disclosure (audit trail)	cancelled group folded but visible	summary shows count + تبقى في السجل للتدقيق	native details; summary text	none	PRESERVE	none	no-delete audit stance
Dialog overlay (micro-dialog-overlay/dialog)	index.css:631-672; UnsavedChangesGuard + Settings + PIN gates	confirmation container	overlay click = stay (non-destructive); stopPropagation inside	overlay; dialog; actions row	role=dialog/alertdialog; focus traps at call sites	none	PRESERVE	none	radius 20px per UX-001
Drawer primitive (vaul)	components/ui/drawer.tsx	overlay container	bottom/top/left/right variants	open/close animations; scrim token S3-15	Escape handled by vaul; aria via DrawerTitle/Description at consumers	none — single drawer primitive repo-wide (no drift)	PRESERVE	none	worklog 2-a: single vaul primitive confirmed
