id	pattern	surface_route	source	file_line	meaning	visual_prominence	label_verb_ar	touch_target	keyboard_focus	state_distinctions	loading_behavior	dup_press_protection	success_proof	error_recovery	cancel_behavior	financial_consequence	prior_relation_notes
INV-014	Notice/QuietCompletion/InlineError/FeedbackNote	shared feedback	components/primitives/Notice.tsx	Notice.tsx:22-101	quiet inline feedback: role=status polite live; completion = Check ink on warm surface + past-tense word; error = error ink 5.46:1 + alert marker; FeedbackNote explicit kind (completion/advisory/error) — no prefix guessing (R1/D6)	recessed ground	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	quiet feedback system (U-07/D-06)
INV-015	Row/RowList operational row	list rows	components/primitives/Row.tsx	Row.tsx:27-66	grid: lead icon · title+caption wrap-safe Arabic · state slot · trailing slot for money/actions; stripe ≤3px ONLY with state word (inset dividers, never stripe alone)	neutral row row-level	n/a	(state/trailing may hold buttons)	n/a	stripeTone gated on state presence	n/a	n/a	n/a	n/a	n/a	n/A	AUD-015 Field/Row convergence context
INV-016	EmptyState	empty surfaces	components/primitives/EmptyState.tsx	EmptyState.tsx (+ primitives.css:460-469)	title 700 + secondary description; honest empty states (no invented numbers)	neutral	—	—	—	—	—	—	—	—	—	VIS-011 honest غير مسجل; AUD-017 skeletons absent	n/a [normalized: source row had 17 cols]
INV-017	MoneyValue bdi isolation	money everywhere	components/presentation/DisplayValue.tsx	DisplayValue.tsx:15-22	bdi dir=ltr + data-negative flag; unit OUTSIDE isolation in MoneyWithUnit (:30-48); IntegerValue/QuantityValue/LocalDate/Month also bdi ltr; DateTime/Time use bdi auto (Arabic period, P-4.4-2)	bidi-isolated number	—	n/a	n/a	n/a	n/a	n	a	n/a	n/a	n/a	n/a Plex Mono isolation (numbers); AUD-020 ~108 prose formatMoneyMinor without bdi (DEFER) — remains [normalized: source row had 19 cols]
INV-018	BottomNav 5 seats	main nav	all chrome routes	components/layout/BottomNav.tsx	BottomNav.tsx:13-55	buttons (no href) with aria-current="page" on active (line 49); icon aria-hidden + label span; nav aria-label="التنقل الرئيسي"	nav chrome	مشروعي الآن/العمل/المالية/أدواتي/السوق	min-width 44 min-height 56 (index.css:717-724)	native buttons	[data-active=true] = selected ink + weight 600, transparent bg (index.css:751-755; non-color cue = weight)	none	none	none	n/a	n/a	navigation only VIS-013 bottom-nav buttons aria-current no href — re-verified statically [normalized: source row had 19 cols]
INV-019	AppHeader logo menu button	header all routes	components/layout/AppHeader.tsx	AppHeader.tsx:199-224	real button ≥44×44 aria-label="قائمة Micro" aria-haspopup=menu aria-expanded; ArrowDown/Enter/Space opens and focuses first menuitem (lines 211-217)	brand lockup button	قائمة Micro	44×44 (index.css:202-209) + wordmark	native + arrows	chevron data-open rotated	n/a	n/a	n/a	n/a	n/a	menu open/close only	D2 brand-menu contract
INV-020	Logo menu (role=menu)	header	AppHeader.tsx	AppHeader.tsx:258-290	role=menu + role=menuitem buttons in 2 groups; ArrowUp/Down cyclic + Home/End (lines 154-166); Escape closes + focus restored to logo (71-74,139-143); pointerdown outside closes (134-137); note «بياناتك محفوظة على هذا الجهاز»	menu overlay	الحساب/بيانات المشروع/الإعدادات	≥48px row	native + arrow keys	menu item active=focus	n/a	n/a	n/a	n/a	Escape/outside	full keyboard menu pattern implemented	A11y positive evidence
INV-021	Soon-panel transport icon-button	header	AppHeader.tsx	AppHeader.tsx:228-241	icon-only 44×44 aria-label="النقل والتوصيل — قريبًا" aria-haspopup=dialog + title; opens non-modal dialog honest «قريبًا»	copy-honest disabled-in-spirit	النقل والتوصيل — قريبًا	44×44 icon-button	native + P-4.4-1 focus entry/trap/restore	n/a	n/a	n/a	n/a	n/a	Escape + X + outside	navigation-free (honest notice)	NAV-001 honest soon
INV-022	Soon-panel dialog focus management	header	AppHeader.tsx	AppHeader.tsx:90-129,291-317	role=dialog aria-modal=false; Escape closes + restore focus to trigger (92-97); Tab trapped inside (98-114); initial focus to first button (121-129); backdrop click closes	dialog overlay	—	n/a	trapped	focus entry + restore	n/a	n	a	n/a	n/a	backdrop/Escape/X	n/a full focus trap + restore — a11y positive [normalized: source row had 19 cols]
INV-023	micro-icon-button (13 usages all labeled)	icon-only buttons	10 files	index.css:328-336 + rg list	44×44 fixed; all 13 instances carry aria-label (Tools.tsx:185, CostEditor.tsx:396, Schedule.tsx:728/739, PwaInstallControl.tsx:115, PwaRuntimeNotice.tsx:84, CatalogTemplatesSection.tsx:299, ActualTimePanel.tsx:358, MaterialSheet.tsx:59, QuickActionSheet.tsx:220, AppHeader.tsx transport/assistant/close)	transparent icon button	إغلاق/إضافة/الشهر السابق…	44×44	native	n/a	n/a	n/a	n/a	n/a	n/a	per-instance	prev audit 13/13 labeled — VERIFIED again at c02fb458
INV-024	Home quick-action tiles (F22-adjacent)	Home /	pages/Home.tsx	Home.tsx:522-546	3 fixed tiles سجّل بيعًا/سجّل مصروفًا/طلب من عميل; micro-quick-action min-width 96 min-height 76 grid icon+label (index.css:2595-2618); sale wears primary variant only when no priority block (line 524)	tile row	سجّل بيعًا etc.	96×76	native	pressed accent-soft	n/a	n/a	n/a	n/a	n/a	sale/expense open sheet in place (transient action); order navigates to draft editor	F22 not defined in brief — recorded with caveat; VIS-005 primary tile reads as selected
INV-025	Home primary quick tile	Home	Home.tsx	Home.tsx:524,2621-2624	micro-quick-action-primary = accent border mix + accent-soft background — same ground family as :active state of normal tiles (index.css:2612-2613 vs 2621-2624)	filled soft accent	سجّل بيعًا	96×76	native	persistent primary vs pressed others — visual ambiguity	n/a	n/a	n/a	n/a	n/a	open sale sheet	VIS-005 (VLM: reads as selected/error) — DEEPENS statically: primary bg == active bg of siblings
INV-026	Home «المزيد» disclosure	Home	Home.tsx	Home.tsx:563-585	aria-expanded toggle revealing moreActions tile row (micro-quick-actions-more)	tile	dotted المزيد	96×76	native	aria-expanded true/false	n/a	n/a	n	a	n/a	n/a	toggles inline row navigation to tools paths a11y-positive disclosure pattern [normalized: source row had 20 cols]
INV-027	Home priority CTA (nav styled save)	Home	Home.tsx	Home.tsx:362-368	primary CTA of «الأهم الآن» uses action="save" filled block for pure NAVIGATION (openFromHome href) — press ≠ write; no confirmation	filled save	per model priorityBlock.actionLabel	48px block	native	n/a	n/a	n/a	n/a	n/a	n/a	NAVIGATION ONLY	W4/NAV-SAVE-CLASS navigation tension — do NOT mislabel as AUD-012; statically re-confirmed at :365
INV-028	Home finance-unit CTA (nav styled save)	Home	Home.tsx	Home.tsx:648-651	second save-styled navigation button (openFromHome finance action)	filled save	per financeUnit.action.label	48px	native	n/a	n	a	n/a	n/a	n/a	n/a	NAVIGATION ONLY W4/NAV-SAVE-CLASS second instance [normalized: source row had 19 cols]
INV-029	FactRow value-as-button	Home أرقامك	Home.tsx	Home.tsx:73-87	known money fact becomes micro-text-action button with aria-label «افتح {label}» navigating to exact ledger source	text-action money	افتح النقد…	44px min (index.css:490-493)	native	n/a	n/a	n/a	n/a	n/a	n/a	NAVIGATION only	المجموعة ٦ بند ٢ — dead-card avoidance
INV-030	FactRow not-initialized road	Home	Home.tsx	Home.tsx:88-96	«غير مسجل — سجّله (نقرة)» text-action to recording road	text-action	سجّله	44px	native	n/a	n/a	n/a	n/a	n/a	n/a	NAVIGATION to writer form	§2.7 honest roads
INV-031	PeriodNumberRow value button	Home	Home.tsx	Home.tsx:173-185	period number opens period view when source exists; unknown shows honestNote «غير مكتملة» never zero	text-action money	افتح مبيعات اليوم…	44px	native	n/a	n/a	n/a	n/a	n/a	n/a	NAVIGATION	VIS-002 (AUD-008) numbers grid context
INV-032	TodayItemRow action	Home اليوم	Home.tsx	Home.tsx:150-155	specific verbs حصّل/سلّم/أكمل/راجع (not generic افتح) per comment :384; text-action + ArrowLeft	icon text-action	per item.actionLabel	44px	native	n/a	n	a	n/a	n/a	n/a	n/a	NAVIGATION to deep surface Z1.2 verbs contract [normalized: source row had 19 cols]
INV-033	InsightRow action	Home ملحوظات	Home.tsx	Home.tsx:203-208	one logical action per insight	text-action	per insight.action.label	44px	native	n/a	n/a	n/a	n/a	n/a	n/a	NAVIGATION	P-4.3-2 D6
INV-034	micro-text-action base class	shared	Home/Foundation/…	index.css:490-510	inline-flex min-height 44 min-width 48; border 0; and aria-pressed=true variant = 2px clay underline + offset (index.css:514-519) — non-color selected cue EXISTS here	text	n/a	44×48	native	aria-pressed underline	n/a	n/a	n/a	n/a	n/a	n/a	R2 (D7) selected announced visually + aria-pressed — contrast AUD-004 (chip lacks this)
INV-035	Home empty-day state (F11 context)	Home	Home.tsx	Home.tsx:370-375	empty day renders strong «يومك مفتوح» + paragraph instructing to use quick buttons above; NO self-contained «سجّل أول بيع» CTA button at c02fb458	static paragraph	سجّل أول بيع أو طلب من أزرار «سجّل بسرعة»…	none (paragraph)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	navigation only (via referenced buttons)	F11 evidence at this commit: CTA is a reference not a button — runtime empty-state NOT_EXECUTED (populated storage prohibited beyond setup)
INV-036	QuickActionSheet menu tiles	sheet global	components/layout/QuickActionSheet.tsx	QuickActionSheet.tsx:252-287	5 actions سجّل بيعًا/سجّل مصروفًا/طلب من عميل/مسودة تصميم/عربون أو تحصيل; sale+expense switch mode in-sheet (transient); order/estimate/collection handed to router (deeper paths); disabled honored with aria-disabled (260-262)	tile list 64px rows (index.css:903-921)	سجّل بيعًا…	min-height 64px	native	pressed scale .99 + hover well	n/a	n/a	n/a	n/a	n/a	sale/expense transient in-sheet; others navigate	§5-14 م3; sheet never creates financial effect itself (header comment)
INV-037	QuickActionSheet X close + dirty guard	sheet	QuickActionSheet.tsx	QuickActionSheet.tsx:143-155,220-222	X icon-button aria-label إغلاق → requestClose: dirty sale/expense forms trigger quiet 2-choice question (سجّله أو تتجاهله), NOT silent reset; repeated close while question shown = stay (least destructive default, lines 145-147)	icon X	إغلاق	44×44	native	n/a	n/a	n/a	n/a	n/a	question overlay stays	discard is explicit destructive choice	المجموعة ١ input protection — POSITIVE (contrast AUD-005)
INV-038	Discard alertdialog	sheet	QuickActionSheet.tsx	QuickActionSheet.tsx:225-249	role=alertdialog aria-labelledby=sheet-discard-question; explicit «لا يوجد حفظ تلقائي»; actions: save «سجّله الآن» (disabled while formSaving) vs destructive «تجاهل ما كتبت»	alert panel	سجّله الآن/تجاهل ما كتبت	48px buttons	native	n/a	formSaving disables save	n/a	n/a	n/a	explicit both ways	correct destructive pairing here (vs AUD-006)	n/a [normalized: source row had 17 cols]
INV-039	Quick sale/expense receipt	sheet	QuickActionSheet.tsx	QuickActionSheet.tsx:308-345	role=status receipt: title + amount + cash-now + debt detail + attribution failure note (honest, lines 319-321) + «افتح السجل» secondary nav + «تم» secondary close	receipt panel	افتح السجل/تم	48px	native	n/a	n/a	n/a	receipt is the proof	honest attribution failure	تم closes	after-write read + nav	F4-adjacent evidence (receipt behavior)
INV-040	QuickSaleForm submit button	sheet sale form	components/finance/QuickSaleForm.tsx	QuickSaleForm.tsx:355-357	action=save type=submit disabled={saving}; label switches «سجّل البيع»→«جارٍ التسجيل…» (text, no spinner); real <form> so Enter submits (lines 208-215, GAP-4.3-05/F13 comment)	save	filled	48px	Enter submits; native	focus retained	n/a	aria-live? no — label text change only	see INV-041	receipt (INV-039)	in-place error retry (same key)	text-action رجوع إلى القائمة	WRITE (direct sale record) W4 transient-sale contract [normalized: source row had 19 cols]
INV-041	QuickSaleForm duplicate-submit protection	sheet sale form	QuickSaleForm.tsx	QuickSaleForm.tsx:59,82,121,137-140	saveInFlightRef synchronous re-entrancy guard + idempotencyKey `sheet-sale-{uuid}` passed to directSales.record (AI-02 pattern; store determinism second line of defense)	n/a	n/a	n/a	n/a	n/a	disabled={saving} + ref guard + idempotency	n/a	n/a	n/a	n/a	duplicate-press protection VERIFIED in code (runtime probe B10 will double-click)	n/a [normalized: source row had 17 cols]
INV-042	QuickSaleForm field error wiring	sheet sale form	QuickSaleForm.tsx	QuickSaleForm.tsx:236-237,250-251,350-354	amount + date inputs get aria-invalid={fieldError} + aria-describedby=quick-sale-form-error; error <p role=alert id=quick-sale-form-error>; fieldError distinguishes validation vs save-failure (P-4.4-5 lines 53-55); note: collected>=amount and missing-customer errors (110-117) set formError WITHOUT fieldError → aria-invalid not raised on those fields	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	nuance: partial aria-invalid coverage for late validations — NEW finding (see FI-4 findings TSV)
INV-043	QuickSaleForm impact preview	sheet sale form	QuickSaleForm.tsx	QuickSaleForm.tsx:327-349	role=status preview «سيدخل الكاش X د.أ … ويسجل دين Y … لا إيراد ولا ربح يُعرض قبل التسليم» — receipt≠profit vocabulary	pre-save preview	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	F1-adjacent honest equation language
INV-044	QuickExpenseForm submit + guard	sheet expense form	components/finance/QuickExpenseForm.tsx	QuickExpenseForm.tsx:336-338,118-159	same pattern: disabled={saving}, «جارٍ التسجيل…», saveInFlightRef + idempotencyKey; amount REQUIRED + note REQUIRED (EXPENSE_NOTE_REQUIRED_MESSAGE :127-130) + wallet source rule violation (FIN-005)	save	filled	48px	Enter submits	n/a	label text change	double guard	receipt	in-place retry same key	رجوع إلى القائمة	WRITE (operating expense)	F3 quick-expense required/optional wording: البند marked مطلوب (:241-243), المبلغ required by validation, التاريخ optional-editable, chips optional — recorded for F3
INV-045	QuickExpenseForm suggest chips (AUD-004)	sheet expense form	QuickExpenseForm.tsx	QuickExpenseForm.tsx:299-315	chips: role=group aria-label="تصنيف سريع (اختياري)"; each chip aria-pressed + title + toggle-off on re-click; CSS: [aria-pressed=true] bg accent-soft + color accent-text (index.css:6157-6160) IDENTICAL to :hover rule (index.css:6151-3156) — selected vs hover color-only identical; comment at 6130 claims «لا لونًا وحده» but no non-color cue implemented on chip	44px pill chips	per suggestion	44px (index.css:6135)	native	aria-pressed present (semantics OK); visual distinction MISSING	none	n/a	n/a	n/a	n/a	toggle	navigation-free (classification field) AUD-004 CONFIRMED STILL PRESENT at c02fb458 (index.css:6151-6160); DEEPENS: contrast INV-034 text-action which does have underline cue [normalized: source row had 19 cols]
INV-046	QuickExpenseForm recurring warning	sheet expense form	QuickExpenseForm.tsx	QuickExpenseForm.tsx:261-265	OPS-003: role=status warning near date for unhandled recurring reminder — visible, non-blocking	honest warning	n/a	n/a	n/a	n/a	n	a	n/a	n/a	n/a	n/a	Z2.4 non-blocking honesty
INV-047	RepaymentSheet (AUD-005 #1)	loans sheet	components/loans/RepaymentSheet.tsx	RepaymentSheet.tsx:73,125-138	vaul Drawer; onOpenChange(false)→onClose() DIRECTLY (line 73) — amount typed then X/overlay/Escape/swipe closes with NO discard question (contrast QuickActionSheet guard); save disabled={saving} label «جارٍ الحفظ…»; cancel secondary «ألغِ»; fill-full text-action (:93-99); saveInFlightRef guard (:38-41)	save/secondary	أكّد السداد/ألغِ	48px	native	n/a	label change + disabled	ref guard (no idempotency key — service generates new ids per call per comment :35-37)	onDone receipt message role=alert in-place	in-place retry	ألغِ explicit + unguarded dismissals	WRITE (loan repayment — raises cash lowers loan)	AUD-005 member 1: static confirmation of unguarded dismissal at c02fb458
INV-048	ReceivedLoanRepaymentSheet (AUD-005 #2)	loans sheet	components/loans/ReceivedLoanRepaymentSheet.tsx	ReceivedLoanRepaymentSheet.tsx:71	same family: Drawer onOpenChange → onClose direct (line 71) — no dirty guard	save/secondary	—	48px	native	n/a	label change + disabled	per file	in-place	in-place	ألغِ + unguarded dismissals	WRITE (received-loan repayment)	AUD-005 member 2
INV-049	MaterialSheet (AUD-005 #3)	cost sheet	components/cost/MaterialSheet.tsx	MaterialSheet.tsx:44,58-62,165-167	Drawer onOpenChange passthrough (line 44) — no dirty guard; X = DrawerClose icon-button «إغلاق إضافة المادة» (:58-62); confirm at :165-167 closes after save	DrawerClose X	إغلاق إضافة المادة	44×44	native	n/a	per consumer	per consumer	per consumer	per consumer	X + overlay + Escape + swipe unguarded	WRITE (material record)	AUD-005 member 3
INV-050	vaul Drawer bottom sheet	shared sheet	components/ui/drawer.tsx	drawer.tsx:37-62	bottom direction: inset-x-0 bottom-0 max-h-[80vh] rounded-t; drag handle 100×2 (line 57); overlay color-mix ink 45% z-50; content z-60; S3-15 scrim via design token	bottom sheet	n/a	80vh max	native (Radix dialog semantics: Escape, focus trap, aria from DrawerTitle/Description)	open/closed animate	framer animations	n/a	n/a	n/a	Escape + overlay + drag	vaul swipe-to-dismiss physics (runtime NOT_EXECUTED on device)	shadcn/vaul wrapper
INV-051	DraftEditor save pair	draft editor	/pages/DraftEditor.tsx	DraftEditor.tsx:478-499	«حفظ مسودة» action=secondary (disabled isSaving||!isQuantityValid) vs «احسب التكلفة» action=save (also disabled until itemName non-empty); pending label «جارٍ الحفظ…»; FeedbackNote id=draft-form-error wired via aria-describedby (:474-477)	secondary + save pair	حفظ مسودة/احسب التكلفة	48px	native	both disabled logic distinct	label change	ref/state per file	feedback note (INV-014)	in-place	n/a	WRITE (draft — local only, no financial effect until converted)	F14/F15 draft dialog/autosave context
INV-052	DraftEditor permanent delete (AUD-006)	draft editor	DraftEditor.tsx	DraftEditor.tsx:500-533	entry «احذف المسودة» action=quiet with Trash2; confirm panel explains permanence (:504-507 «نهائيًا … لا يمكن التراجع بعد الحذف»); CONFIRM button action=secondary «احذف المسودة نهائيًا» (NOT destructive ink) (:509-518); dismiss = action=quiet DISMISS_PANEL_CLOSE_LABEL	quiet entry / secondary confirm	احذف المسودة نهائيًا	48px	native	confirm vs dismiss distinct	isDeleting label «جارٍ الحذف…» + disabled	per file	n/a	n/a	quiet dismiss	DESTRUCTIVE WRITE (permanent local deletion)	AUD-006 CONFIRMED STILL PRESENT at c02fb458 (secondary not destructive on permanent-delete confirm)
INV-053	Setup wizard submit	setup gate	/pages/Setup.tsx	Setup.tsx:425-434,271-273	action=save block type=submit disabled={isSaving}; label per step incl. saving state (:426-433); real form Enter submits; aria-invalid/aria-describedby wired to setup-error (:316-317,405); error role=alert; step-back secondary «خطوة سابقة» (:417-423)	save block	filled per step	48px block	Enter + native	n/a	label change + disabled	setIsSaving guard (line 148; no in-flight ref — sync guard only, state-based)	notifyDataChanged + navigate	n/a	n/a	FIRST-RUN WRITE (profile + optional wallet) — runtime probe B2/B10 target	n/a [normalized: source row had 17 cols]
INV-054	Setup skip-wallet text-action	setup gate	Setup.tsx	Setup.tsx:350	«تخطَّ المحفظة الآن — أسجلها لاحقًا من المالية» explicit skip path (wallet optional per :157 openingChoice gate)	text skip	تخطى	44px	native	n/a	n/a	n/a	n/a	n/a	n/a	skip = no wallet write (zero writes if chosen)	VIS-016 setup wizard honest skip path zero writes — re-verified statically
INV-055	Setup draft autosave/restore	setup gate	Setup.tsx	Setup.tsx:88-145	every real change saves local form draft (no financial effect); explicit restore offer, never silent apply (U-003); empty draft never created (:129-134)	n/a	n	a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	local-only draft writes F14/F15 adjacent (autosave exists here and is honest) [normalized: source row had 19 cols]
INV-056	UnsavedChangesGuard (F16)	forms global	components/forms/UnsavedChangesGuard.tsx	UnsavedChangesGuard.tsx:63-135	sentinel history.pushState({microGuard:true}) (63,99); popstate handler back-tracks sentinel (108-111); beforeunload registered (122-123); navigation guard go(-1/-2) (135)	n/a	n/a	n/a	History guard registration VERIFIED statically	F16 browser-back dirty-state guard exists in code; runtime device back NOT_EXECUTED	n/a	n/a	n/a	n/a	n/a	n/a	n/a [normalized: source row had 11 cols]
INV-057	Global focus-visible ring	global	index.css	index.css:147-148	outline: 2px solid var(--vf-focus); outline-offset 2px (global interactive selector); field inputs 2px (primitives.css:402-405); additional 3px accent outlines at 1947/2001/2075/4212	focus ring	n/a	n/a	P-14 PASS prior — re-verify runtime B3	—	—	—	—	—	—	—	n/a [normalized: source row had 17 cols]
INV-058	Reduced-motion CSS	global	index.css + primitives.css	index.css:3901-3908 universal kill (scroll-behavior/animation/transition 0.01ms !important); index.css:688-691 micro-spinner 0.01ms; index.css:3022-3028 month cell transform none; index.css:5798-5802 micro-page animation none; primitives.css:472-480 button transform none + spinner 3s; brand-launch-splash.css:174 + BrandLaunchSplash.tsx:42 static mark immediately	—	n/a	n/a	runtime probe B8 will verify emulated reduce	—	—	—	—	—	—	5 blocks + universal — strong static support	n/a	n/a [normalized: source row had 16 cols]
INV-059	Safe-area insets	global	index.css	index.css:183,186 (header top), 355-365 (main bottom/scroll), 705 (bottom-nav), 878, 1151, 1433, 3095 (sheet paddings); viewport-fit=cover index.html:7; DevicePwa.w44.dom.test.tsx:111-112 asserts both axes	—	n/a	n/a	—	—	—	—	—	—	—	—	env(safe-area-inset-*) comprehensively used (static)	n/a [normalized: source row had 17 cols]
INV-060	Keyboard-open chrome hiding	global	components/layout/MicroAppShell.tsx	MicroAppShell.tsx:68-76 + index.css:690-696	visualViewport resize listener: height < innerHeight-120 → data-keyboard-open=true hides header + bottom nav so content is not under keyboard (§4 بند ١٨)	—	n/a	n/a	—	—	—	—	—	—	—	—	Static keyboard-overlap mitigation exists; runtime B11 will simulate viewport shrink (Playwright viewport resize ≠ visualViewport, so effect may not trigger — will record honestly)
INV-061	Touch target floors	global	index.css + primitives.css	--vf-control-height 48px (vf-tokens.css:110); 44px floors ×14 + 48px ×4 in index.css (lines 205,269,492,1010,1113,1657,2907,3420,3501,5169,5296,5315,5350,5575,5731,6135,6208,6653); micro-text-action 44/48 (490-493); nav-item 44×56 (717-720); icon-button 44×44 (328-336); quick-action 96×76 (2595-2598); sheet-action 64px (903)	—	n/a	n/a	runtime B6 measures all four surfaces at 320/412	—	—	—	—	—	—	VIS-008 claimed zero sub-44px — runtime re-verification pending	n/a	n/a [normalized: source row had 16 cols]
INV-062	Fonts (local, swap, no preload)	global	public/fonts/fonts.css + index.html	index.html:27 stylesheet link (render-blocking but same-origin local); 11 @font-face all font-display: swap; IBM Plex Sans Arabic (arabic+latin subsets 400-700), IBM Plex Mono 500/600 latin, Alexandria VF 100-900 arabic+latin+digits (fonts.css:93-105) still shipped and referenced	—	n/a	n/a	runtime B10: document.fonts timing + FOUT screenshots	AUD-011 no font preload — EVOLVED: fonts now local (S5-01) but preload still absent; Alexandria-VF remains in bundle	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a [normalized: source row had 16 cols]
