route_pattern	registered_in	static_inspection	render_smoke_covered	dom_test_neighbor	browser_coverage	browser_state_seen	browser_viewports	logic_traced_to_domain_storage	notes
/finance/g5/declaration	client/src/app/MicroRouter.tsx:152	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	G5DeclarationEditor has NO direct test import; only route-knowledge/classifier unit tests
/suppliers/purchase/:id/payment	client/src/app/MicroRouter.tsx:153	YES (FI-1/FI-2 source read)	YES	PurchasingBridgeExe011.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	SupplierPurchaseEditor payment sheet
/suppliers/purchase/:id	client/src/app/MicroRouter.tsx:155	YES (FI-1/FI-2 source read)	YES	pages/SupplierPurchaseEditor.ui.test.tsx	NOT_OPENED_IN_BROWSER			YES	behind CapabilityCreateGate (suppliers)
/suppliers	client/src/app/MicroRouter.tsx:162	YES (FI-1/FI-2 source read)	YES	SuppliersDueAging.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ G004CapabilityGuard
/cash/wallet/new	client/src/app/MicroRouter.tsx:163	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	CashWalletEditor has NO direct test import; smoke-only render
/cash/wallet/:id	client/src/app/MicroRouter.tsx:165	YES (FI-1/FI-2 source read)	YES	G2.dom.test.tsx	BROWSER_OPENED	«كاش المحافظ المعلن (د.أ) 10.25», «الدرج» wallet, continuity	390 (populated)	YES	WalletLedger; + FinancePoliciesWallet.w42.dom.test.tsx
/cash/wallet/:id/opening-later	client/src/app/MicroRouter.tsx:166	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	CashOpeningLaterEditor (D-004) has NO direct test import
/cash/transfer	client/src/app/MicroRouter.tsx:167	YES (FI-1/FI-2 source read)	YES	G3Cash.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	CashTransferEditor
/cash/distribute	client/src/app/MicroRouter.tsx:168	YES (FI-1/FI-2 source read)	YES	CashVocabulary.w43.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ CashJourneys.dom.test.tsx
/cash/count	client/src/app/MicroRouter.tsx:169	YES (FI-1/FI-2 source read)	YES	CashJourneys.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	cash count session
/cash/wallet/:id/adjust	client/src/app/MicroRouter.tsx:170	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	CashAdjustmentEditor has NO direct test import
/cash/entry/:id/reverse	client/src/app/MicroRouter.tsx:171	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	CashReversalEditor has NO direct test import
/cash	client/src/app/MicroRouter.tsx:172	YES (FI-1/FI-2 source read)	YES	NONE	BROWSER_OPENED	«كاش المحافظ المعلن (د.أ) 10.25», «الدرج» wallet, continuity	390 (populated)	YES	CashWallets main surface has NO direct test import (renderSmoke only); finance/policies tests mount WalletLedger not thi
/collect	client/src/app/MicroRouter.tsx:174	YES (FI-1/FI-2 source read)	YES	WorkShare.w43.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ G2.dom.test.tsx; collection sheet (Group 2 Scope B)
/inventory/material/new	client/src/app/MicroRouter.tsx:177	YES (FI-1/FI-2 source read)	YES	group2InventorySurfaces.test.tsx	NOT_OPENED_IN_BROWSER			YES	behind CapabilityCreateGate (inventory)
/inventory/material/:id/confirm	client/src/app/MicroRouter.tsx:183	YES (FI-1/FI-2 source read)	YES	group2InventorySurfaces.test.tsx	NOT_OPENED_IN_BROWSER			YES	MaterialEditor confirm mode (contract 28); NOT capability-gated (documented correction)
/inventory/movement/:id/reverse	client/src/app/MicroRouter.tsx:184	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	InventoryReversalEditor has NO direct test import; G004CapabilityDeepLinks does structural router-source check only
/inventory/movement/:type	client/src/app/MicroRouter.tsx:187	YES (FI-1/FI-2 source read)	YES	Ops001MovementSelection.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ InventoryAdjustExe012, group2InventorySurfaces; behind CapabilityCreateGate
/inventory	client/src/app/MicroRouter.tsx:194	YES (FI-1/FI-2 source read)	YES	InventoryLowStock.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ InventoryAdjustExe012, PurchasingBridgeExe011, group2InventorySurfaces
/catalog	client/src/app/MicroRouter.tsx:195	YES (FI-1/FI-2 source read)	YES	CatalogPlannedCost.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ pages/Catalog.ui.test.ts, CatalogItemResult.w177.dom
/tools	client/src/app/MicroRouter.tsx:196	YES (FI-1/FI-2 source read)	YES	ToolsCleanup.w42.dom.test.tsx	BROWSER_OPENED	populated Tools incl. calculator + integrity entries	320, 360, 390, 412, 430 + 360 dark	YES	+ U004.dom, G3.dom
/market	client/src/app/MicroRouter.tsx:198	YES (FI-1/FI-2 source read)	YES	Nav001.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	"honest ""coming soon"" ad surface (NAV-001); + Clean001.surfaceAudit"
/tools/calculator	client/src/app/MicroRouter.tsx:200	YES (FI-1/FI-2 source read)	YES	G3.dom.test.tsx	BROWSER_OPENED	«حاسبة التكلفة والسعر»: title, material rows (name/qty/unit 	390	YES	+ G3Delivery.dom; deep thinking tool, no financial effect
/tools/estimate/:id	client/src/app/MicroRouter.tsx:201	YES (FI-1/FI-2 source read)	YES	G3.dom.test.tsx	BROWSER_OPENED	populated Tools incl. calculator + integrity entries	320, 360, 390, 412, 430 + 360 dark	YES	EstimateDetail read page
/tools/integrity	client/src/app/MicroRouter.tsx:203	YES (FI-1/FI-2 source read)	YES	ToolsIntegrity.ui.test.tsx	BROWSER_OPENED	«14 فحصًا يقرأ أرقامك كما هي…» — «لم تُشغَّل بعد — اضغط «افح	390 (populated)	YES	+ IntegrityReadable.w43.dom
/assets/new	client/src/app/MicroRouter.tsx:205	YES (FI-1/FI-2 source read)	YES	G4Assets.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	AssetEditor
/assets/:id	client/src/app/MicroRouter.tsx:206	YES (FI-1/FI-2 source read)	YES	G4Assets.dom.test.tsx	BROWSER_OPENED	steps 1-3 (name, wallet, opening position); skip path and un	390	YES	AssetDetail
/assets	client/src/app/MicroRouter.tsx:207	YES (FI-1/FI-2 source read)	YES	G4Assets.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ StateRecovery.w44.dom
/loans/received/new	client/src/app/MicroRouter.tsx:210	YES (FI-1/FI-2 source read)	NO	ReceivedLoanEditor.w178.dom.test.tsx	BROWSER_OPENED	received-loan editor «قرض أخذته (التزام)»: preview «ماذا سيح	390	PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #2/9: FIN-001 WS-178 received-loan editor; component-tested but not full-app smoke
/loans/received/:id	client/src/app/MicroRouter.tsx:211	YES (FI-1/FI-2 source read)	NO	NONE	BROWSER_OPENED	empty («لا قروض صادرة بعد») -> populated («قائم عند الناس 20	390 (empty + populated)	PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #3/9: ReceivedLoanDetail has NO test import at all; only routeClassifier/routeKnowledgeSync strings
/loans/new	client/src/app/MicroRouter.tsx:212	YES (FI-1/FI-2 source read)	YES	G4Loans.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	LoanEditor
/loans/:id	client/src/app/MicroRouter.tsx:213	YES (FI-1/FI-2 source read)	YES	G4Loans.dom.test.tsx	BROWSER_OPENED	empty («لا قروض صادرة بعد») -> populated («قائم عند الناس 20	390 (empty + populated)	YES	LoanDetail
/loans	client/src/app/MicroRouter.tsx:214	YES (FI-1/FI-2 source read)	YES	G4Loans.dom.test.tsx	BROWSER_OPENED	empty («لا قروض صادرة بعد») -> populated («قائم عند الناس 20	390 (empty + populated)	YES	+ DeepScreens.w43, ArabicRtlContent.w44, Accessibility.w44
/parties	client/src/app/MicroRouter.tsx:215	YES (FI-1/FI-2 source read)	YES	PartiesLedger.dom.test.tsx	BROWSER_OPENED	«لك عند الناس 0.00 / عليك للناس 0.00», search, honest empty 	390 (populated)	YES	party ledger
/finance	client/src/app/MicroRouter.tsx:216	YES (FI-1/FI-2 source read)	YES	FinanceBridge.w173.dom.test.tsx	BROWSER_OPENED	full period-result component rows (F1): 31 rows incl. تكلفة 	390	YES	16 neighbor files (FinanceJourneys, FinanceEmptyTruth, G005FinanceReadIsolation, FinanceObligations, FinanceBudgets, Fin
/finance/more	client/src/app/MicroRouter.tsx:218	YES (FI-1/FI-2 source read)	NO	FinanceMore.w42.dom.test.tsx	BROWSER_OPENED	«ما وراء الصورة اليومية»: سلامة الحسابات entry + ملخصات وتقا	390 (populated)	PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #4/9: Wave 4.2 F01 organized read surface; component-tested only
/finance/upcoming	client/src/app/MicroRouter.tsx:219	YES (FI-1/FI-2 source read)	NO	FinanceUpcoming.dom.test.tsx	NOT_OPENED_IN_BROWSER			PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #5/9: OPS-005/006 unified upcoming reader; component-tested only
/finance/recurring/new	client/src/app/MicroRouter.tsx:223	YES (FI-1/FI-2 source read)	NO	RecurringExpenseSurfaces.dom.test.tsx	NOT_OPENED_IN_BROWSER			PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #6/9: OPS-003 contract 41 editor; mounted in RecurringExpenseSurfaces with location=/finance/recurring/new
/finance/recurring/:id/edit	client/src/app/MicroRouter.tsx:224	YES (FI-1/FI-2 source read)	NO	RecurringExpenseSurfaces.dom.test.tsx	NOT_OPENED_IN_BROWSER			PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #7/9: future-revision editor; RecurringExpenseEditor imported+mounted by neighbor test
/finance/recurring/:id	client/src/app/MicroRouter.tsx:225	YES (FI-1/FI-2 source read)	NO	RecurringExpenseSurfaces.dom.test.tsx	BROWSER_OPENED	full period-result component rows (F1): 31 rows incl. تكلفة 	390	PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #8/9: recurring detail reader; RecurringExpenseDetail imported+mounted by neighbor test
/finance/recurring	client/src/app/MicroRouter.tsx:226	YES (FI-1/FI-2 source read)	NO	RecurringExpenseSurfaces.dom.test.tsx	NOT_OPENED_IN_BROWSER			PARTIAL (see FINANCIAL-TRACE-MATRIX)	"UNSMOKED #9/9: FinanceRecurring list; note prior hand-down said ""recurring x3"" but the family is x4 routes"
/finance/statement	client/src/app/MicroRouter.tsx:228	YES (FI-1/FI-2 source read)	YES	StatementPeriod.w173.dom.test.tsx	BROWSER_OPENED	week statement before/after expense; «قارن مع الفترة السابقة	390 (s3-04/04b) + 390 populated (s3-07)	YES	+ G2.dom.test.tsx; F1-relevant statement surface
/finance/activity	client/src/app/MicroRouter.tsx:229	YES (FI-1/FI-2 source read)	YES	R2.financeActivityVoid.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ G5Activity.dom.test.tsx; contract 30 unified activity reader
/share/preview	client/src/app/MicroRouter.tsx:230	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	SharePreview has NO direct test import; WorkShare.w43 asserts the /share/preview?returnTo= link target only; contract 33
/orders	client/src/app/MicroRouter.tsx:231	YES (FI-1/FI-2 source read)	YES	pages/Orders.ui.test.tsx	BROWSER_OPENED	empty («لا توجد سجلات عمل بعد», «يومك مفتوح — سجّل أول بيع» 	320, 360, 390, 412, 430 (populated, ligh	YES	+ WorkShare.w43
/review	client/src/app/MicroRouter.tsx:233	YES (FI-1/FI-2 source read)	YES	NONE	NOT_OPENED_IN_BROWSER			YES	redirect-only route to /finance; smoke renders it (redirect fires); no component test needed beyond smoke
/settings	client/src/app/MicroRouter.tsx:236	YES (FI-1/FI-2 source read)	YES	Settings.lockGate.dom.test.tsx	BROWSER_OPENED	appearance: theme light -> «التبديل إلى الداكن» -> dark (htm	360	YES	+ Set003SettingsSection.dom, Set003Capabilities.dom, SettingsDataBackupSection.w42, U11.dom
/profile	client/src/app/MicroRouter.tsx:237	YES (FI-1/FI-2 source read)	YES	pages/Profile.ui.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ ArabicRtlContent.w44.dom
/	client/src/app/MicroRouter.tsx:238	YES (FI-1/FI-2 source read)	YES	Home.dom.test.tsx	BROWSER_OPENED	empty (post-skip, post-wallet) with honest «غير مسجل — سجّله	320, 360, 390, 412, 430 (populated, ligh	YES	+ HomeRedesign.w43.dom, Nav001.dom, ReadLayerParity.w44.dom, Set003Capabilities.dom, G004CapabilityGuard.dom
/*(NotFound catch-all)	client/src/app/MicroRouter.tsx:239	YES (FI-1/FI-2 source read)	NO	NONE	NOT_OPENED_IN_BROWSER			PARTIAL (see FINANCIAL-TRACE-MATRIX)	not a registered pattern (Switch default); Nav003.exe016.dom asserts 404 behavior; excluded from the 65
(concrete) /finance/definitely/not/a/route	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	same NotFound rendered for a deep /finance/* path; URL prese	390	-	deep unknown routes caught (no blank screen)
(concrete) /loans/loan-8f98825a…	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	loan detail: «أصل 20.00 د.أ · 25/09/2026 · متبقٍ 20.00 د.أ»,	390	-	s3-07 deep capture loandetail-390-first/full
(concrete) /loans/new (given-loan editor; label INFERRED)	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	loan editor «قرض لشخص»: borrower 20.00 saved -> redirect to 	390	-	editor URL itself not logged; loan_url_after_save recorded
(concrete) /orders/draft/7145c83a…	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	re-opened draft «مسودة أ»: round-2 edit NOT autosaved (updat	390	-	proves post-materialization edits are in-memory only
(concrete) /orders/draft/7145c83a…/cost	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	cost editor «المواد»; MaterialSheet «أضف بند مادة» with type	390	-	AUD-005-3; draft costSnapshots stayed 0 after all dismissals
(concrete) /orders/draft/new	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	draft editor: F15 single-input materialization; F14 close-gu	390	-	order-drafts store (inside export snapshot), unlike form-drafts
(concrete) /this-route-does-not-exist-xyz	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	NotFound: «مسار غير متاح / هذه الصفحة ليست جزءًا من هذا الإص	390	-	
(concrete) /tools/estimate/4ef67714…	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	estimate detail: «حالة المعرفة: ناقصة», «تكلفة القطعة المتوق	390	-	estimate-vs-final labeling honest
(concrete) received-loan detail (route INFERRED /loans/received/{id})	dynamic instance of registered :id pattern	YES	pattern-level (see row above)	-	BROWSER_OPENED	ReceivedLoanRepaymentSheet host: «سداد أصل من قرض …» sheet w	390	-	URL not captured in notes; INFERRED from navigation flow
