trace_id	path	user_input	ui_source(file)	application_service	domain_function	storage_write(fields)	computed_output	explanation_label	receipt_result	contract_reference	match_or_mismatch	evidence_class	classification	prior_id_relation
FI2-11	collect from receivable	pick source + amount + wallet	pages/Collect.tsx	collections/collectionService.ts collect L146-242	fulfillment.collectFromSheet (order) or directSaleService.update (sale) with revisionReason «تحصيل دفعة»	commitOrderUpdate / saveDirectSale (collectedMinor up, status per rule) + distributeUnallocated allocation with op key `${idempotencyKey}:attribute`	remainingAfterMinor honest; attributedToWalletMinor; attributionNotice on partial failure	outcome shows remaining + wallet + notice; exceeds-remaining rejected with numbers	receipt shows sourceHref + remaining	contract 05 §3.1 collection ≠ revenue	MATCH	VERIFIED	PRESERVE	NEW
FI2-12	owner money injection/withdrawal	amount + optional wallet	pages/FinancialEventEditor.tsx (owner types)	projectFinancialService.record + distributeUnallocated (EXE-009)	DELTA_TABLE owner_investment_cash [+cash,+ownerCap] / owner_withdrawal_cash [−cash,−ownerCap] L291-292	saveFinancialEvent + allocation entry sourceRefKind owner_event	cash and owner capital move; never sales/expense	«مال المالك لا يدخل النتيجة» Statement L599-601; definitions L67-77	cross-model duplicate guard L641-655	contract 05 §3.3; principle 13	MATCH	VERIFIED	PRESERVE	NEW
FI2-13	owner entitlement + safe withdrawal	policy per period; horizon + reserve	components/owner/* + pages/OwnerEntitlement.tsx; owner withdrawal surfaces	finance/ownerEntitlementService.ts; owner-safe-withdrawal domain	src/domain/owner-entitlement/policies.ts; src/domain/owner-safe-withdrawal (status available|needs_review|incomplete)	saveOwnerEntitlementRecord (amountMinor, knowledge, reversalOfId) — advisory reading stored never	entitlement record per policy period; safe withdrawal = advisory only (headroom, reasons, assumptions)	«ليست مبيعات ولا مصروف تشغيل»؛ safe withdrawal shows reserve + projected cash + reasons	n/a	contract 05 §5.3 rounding via shared helpers; FIN-004 WS-176	MATCH	VERIFIED	PRESERVE	NEW
FI2-14	opening position (setup + later)	known / unknown / zero	Setup.tsx (OpeningChoice L21, openWallet L157-172); pages/CashOpeningLaterEditor.tsx save L64-90	cash/cashContinuityService.ts openWallet L125-166 / recordOpeningBalanceLater L168-211	src/domain/cash-continuity/policies.ts createCashWallet L31-46 (openingStatus unknown) + createCashContinuityEntry L78-129 (opening_balance ≥ 0)	saveCashWallet (openingStatus) + opening_balance entry with operationKey; later entry requires reason	unknown → displayed «غير محدد» not zero (principle 5.1); zero choice = documented zero	«غير محدد» vs صفر موثق distinction L18 cashContinuityService	n/a	contract 10 cash continuity; D-004	MATCH	VERIFIED	PRESERVE	NEW
FI2-15	estimate + saved estimate (2 × 3.25 ÷ 4)	material qty 2 × unit 3.25 JOD, order quantity 4	pages/CostCalculator.tsx (preview+save)	estimates/costEstimateService.ts preview L39-79 / save L96-123 (zero financial effect)	src/domain/craft-order/policies.ts materialItemCostMinor L198-213 (roundHalfUp milli) + unitCostCeilingMinor L221-232 (ceilRatio exact) + calculateCostSnapshot L234-288	saveCostEstimate (plannedCostMinor 650, unitCostMinor 163 = ceil(650×1000/4000), priceFloorMinor = 163 + buffer, knowledgeState)	estimate = protection-price thinking tool; not final price, not order, not profit	«اقتراح من تقديرك — عدّل بحرية قبل أي اتفاق» DraftEditor L73-78	saved estimate deletable freely; bridges to draft (U-004) with proposal notice	contract 03 cost snapshot; contract 05 §5.1 unit cost = ceil(planned/qty)	MATCH	VERIFIED	PRESERVE	NEW
FI2-16	order draft creation (F15)	first real input in /orders/draft/new	pages/DraftEditor.tsx (virtual new L120-148; ensureMaterialized L196-232; save L234-287)	drafts/draftService.ts create L45-62 / save L65-98 (expectedUpdatedAt conflict) / delete L101-125 (linkedOrderId guard)	(none — pre-domain record)	saveDraft: one OrderDraft per editor session created on first real input; updated in place; NO empty drafts, NO per-edit appends	no price/cash/result effect (file header L1-3)	«نسجل القصة والكمية الآن. التكلفة والاتفاق يأتيان بعد ذلك» L369	«تم حفظ المسودة على هذا الجهاز» L284	contract 21/decision 21; و۵ first-real-input	MATCH (one draft per session, updated in place)	VERIFIED	PRESERVE	NEW (F15 code-side)
FI2-17	form draft autosave vs guard wording (F14)	dirty long-form inputs	components/forms/UnsavedChangesGuard.tsx dialog L270-271 vs useFormDraft.ts L79-112	application/drafts/formDraftService.ts save L71-114 (32k cap, expectedUpdatedAt sync guard)	(none — non-financial store outside export snapshot)	saveFormDraft envelope id `${formKind}:${scopeId}` updated in place; cleared only on successful final save	dialog says «لن يُحفظ شيء تلقائيًا… يفقد ما لم تحفظه» while draft-backed editors DO autosave inputs locally	status line in editors «مسودتك محفوظة محليًا… لم يُسجّل البيع بعد» DirectSaleEditor L619-625	restore banner (استرجع/تجاهل) explicit	contract 36; contract 38 dirty bridge	MISMATCH (blanket wording false where autosave exists; true only for record-creation sense and for DraftEditor post-materialization)	VERIFIED	FIX_NOW	DEEPENS_EXISTING (contract 36 family; draft-dismissal-mini-spec)
FI2-18	order deposit collection	deposit 40 on confirmed order	pages/OrderDetail.tsx (deposit panels components/orders/OrderDepositPanels.tsx)	fulfillment/fulfillmentService.ts (guarded commitOrderUpdate L77)	src/domain/craft-order/policies.ts collectDeposit L671-702 (cap = orderValueMinor L684)	commitOrderUpdate (depositCollectedMinor, collectedMinor, settlementStatus unpaid→partially_paid, event deposit_collected + amountMinor)	cash up, receivable recomputed; NO revenue recognition	«قبض لدين أو متبقٍ — ليس إيرادًا» statementService qualifier L372	n/a	contract 02 order lifecycle; contract 05 table §3.2	MATCH	VERIFIED	PRESERVE	NEW
FI2-19	delivery + result recognition	deliver order (known snapshot)	pages/OrderDetail.tsx / DeliveryReview	fulfillment/fulfillmentService.ts (atomic delivery commit incl. consumption + allocations L719-742)	transitionOrder L570-621 + recognizeDeliveryValues L556-568 + resultStatusForKnowledge L355-364	commitOrderUpdate atomic (order + movements + shortages + cash allocation)	recognizedRevenue/Cost at delivery only; profitIndicator only when known; full prepayment + delivery → settled (L596-600)	result label per resultStatus final|estimated|incomplete|review_required	delivery review surface with corrections layer	contract 05 §3.2 delivery row; contract 13	MATCH	VERIFIED	PRESERVE	NEW
FI2-20	cancel order + deposit settlement	reason + refund/retain decision	pages/OrderDetail.tsx	cancel via fulfillmentService (documented path)	cancelOrder L1057-1099 (reason mandatory; deposit → depositSettlement needs_review) + settleDepositRefund L1195 / settleDepositRetain L1213 + classifyRetainedDeposit L1318	commitOrderUpdate + commitDepositRefundSettlement (atomic refund + wallet reversal)	cancelled_pending when deposit held; partial settlement stays needs_review; retained classified as revenue or owner via explicit event	«راجع قرار رد العربون أو الاحتفاظ به» L1080	n/a	contract 02; contract 05 cancellation row; Conflict E partial settlement	MATCH	VERIFIED	PRESERVE	NEW
FI2-21	delivery reversal + review lock	needs_review delivered order; reverse with reason	pages/DeliveryReview.tsx / InventoryReversalEditor	fulfillment/deliveryReviewService.ts (lockedReview tests) + deliveryReversalCommitGuard	src/domain/craft-order/policies.ts reverseDelivery L990-1041 (reason L1014, reversesEventId L1039, no double L1007-1013); assertNotLockedDeliveredReview L294-300 guards transitionOrder/reviseOrderCost/collectDeposit/collectRemaining/registerDebt/reviseAgreedPrice/cancelOrder	deliveryReversal commit (order needs_review, recognized 0, event delivery_reversed)	single documented exit from delivered review lock; recognized values zeroed; profit hidden	DOMAIN-ENFORCED (not UI-only); reviewLockBoundary test proves store untouched on rejection	n/a	contract 05 §9 item 12; D-031; contract 34 correction trail	MATCH (one documented gap: reverseOrderCollection outside guard — owner decision D-031 approved not implemented)	VERIFIED	PRESERVE (record gap)	DEEPENS_EXISTING (02-domain-contract-coverage row)
FI2-22	loan given + repayment sheet (AUD-005)	loan principal; repayment amount/date/note	pages/Loans.tsx + LoanEditor.tsx; components/loans/RepaymentSheet.tsx (dismiss L73)	loans/loanService.ts (keys L120-137, L148-208)	src/domain/loan/policies.ts createLoanRecord L28-51 / addLoanRepayment L67-93 (cap outstanding) / reverseLoanRepayment L96-119	loan record + financial events loan_outgoing_cash [−cash,+loan] / loan_repayment_cash [+cash,−loan] (DELTA_TABLE L314-316); deterministic idempotency keys	repayment raises cash and lowers outstanding — never income	«السداد يرفع الكاش ويخفض المتبقي — ليس إيرادًا جديدًا ولا ربحًا» L78	none — onDone() closes the sheet; no receipt screen	contract 05 §3.3 loans ≠ income; AUD-005 dismissal guard	MISMATCH: sheet dismissal (X/outside/Escape/drag) discards typed amount with NO guard (QuickActionSheet has one)	VERIFIED	FIX_NOW	DUPLICATE/DEEPENS_EXISTING (AUD-005)
FI2-23	received loan + repayment	same shape for borrowed money	pages/ReceivedLoanEditor.tsx + components/loans/ReceivedLoanRepaymentSheet.tsx (dismiss L71)	loans/receivedLoanService.ts	src/domain/received-loan/policies.ts + DELTA_TABLE loan_received_cash [+cash,+loanPayable] / loan_received_repayment_cash [−cash,−loanPayable] L319-322 (lender mandatory types.ts L225-229)	received-loans store + financial events; loanPayable separate layer from operating payables	repayment reduces borrowing liability, not an expense	«تسديد التزام اقتراض — ليس مصروفًا» statementService L521	none — onDone() closes the sheet; no receipt screen	FIN-001 (WS-178) loanPayable layer; AUD-005 dismissal guard	MISMATCH: same unguarded dismissal as FI2-22	VERIFIED	FIX_NOW	DUPLICATE (AUD-005)
FI2-24	material sheet + inventory consumption	material name/unit/qty/price in sheet; consume linked to order	components/cost/MaterialSheet.tsx (dismiss L44) + pages/CostEditor.tsx L443-449; pages/InventoryMovementEditor.tsx	inventory/inventoryMaterialService.ts; cost/costService.ts	src/domain/inventory-material (quantityMilli, moving average, no negative balance, reversal dedupe)	inventory movements/materials commits (atomic multi-store L1857-1898); consumption linked to order via sourceRefMaterial sheet dismissal silently discards in-sheet entry (AUD-005 #3); consumption ≠ auto COGS (period COGS only from evidenced consumption, derivePeriodCogs)	consumption valued at moving-average cost; period COGS only from evidenced consumption; purchase never auto-expensed	«شراء مواد — ليس مصروفًا حتى الاستهلاك» statementService L492	n/a	contract 11 inventory consumption; contract 14 period allocation	MATCH on money semantics; MISMATCH on dismissal guard	VERIFIED	FIX_NOW (guard) / PRESERVE (money)	DUPLICATE (AUD-005)
FI2-25	cash wallets, transfers, adjustments, count	count drawer; transfer between wallets; adjust with reason	pages/CashCount.tsx (difference L89-113); pages/CashTransferEditor.tsx; pages/CashWallets.tsx	cash/cashContinuityService.ts openWallet L125 / adjust L213 / transfer L246 (balanced pair) / reverse L300+	cash-continuity/policies.ts L78-129 (transfer needs transferId; reversal needs reason+reversesEntryId; adjustment needs reason; opening ≥ 0)	commitCashContinuity (atomic transaction L1784-1820)	CashCount: counted − recorded = difference recorded as cash_adjustment with reason, future effect only	«قارن المعدود بالرصيد المسجل، وسجّل الفرق تسوية موثقة» L164; knowledge marker known/stale L196	n/a	contract 10 cash continuity; owner flow #20	MATCH	VERIFIED	PRESERVE	NEW
FI2-26	idempotency + double submit + reload mid-flow	any money submit (double-press, re-entry, reload)	all editors (saveInFlightRef + disabled=saving)	service-level reuse checks (directSaleService L80; projectFinancialService L1300)	domain eventExists per idempotencyKey+type (craft-order L290-292)	store writeOneIdempotent inside transaction (IndexedDbLocalStore L891, L1328); commit guards for multi-family writes	NO double effect on retry; reload mid-submit either committed or absent (single idempotent put); no pending queue (local-only by design)	«الضغط مرتين لا يضاعف أثرًا» receipts	reused path returns neutral message (FinancialEventEditor L687-693)	contract 05 §9 item 10; contract 04 local_only	MATCH	VERIFIED	PRESERVE	DEEPENS_EXISTING (AUD-023 honestly-absent offline axis)
