id	area	finding	evidence	evidence_class	prev_scan_or_audit_ref	relation	classification	owner_decision_required	minimum_safe_next_step	rollback_boundary
FI1-11	duplication	Row species family = 4, not 3: Row/RowList primitive 1 consumer (Home.tsx, 2 usages); .micro-list/.micro-list-item 6 files/18 usages; .micro-draft-row 2 files/5 usages; .micro-finance-event* card rows 4 screens (documented preserved pattern). Convergence deferred per MIGRATION_STATUS follow-up 2	rg census (evidence file); MIGRATION_STATUS.md:43,55	VERIFIED	MIGRATION_STATUS follow-ups 2-3; AUD-015 family (Row side)	DUPLICATE (family enumerated precisely)	DEFER (owner visual wave)	yes	none now	n/a
FI1-12	duplication	NEW precision on empty-state family: five species coexist — EmptyState primitive (6 pages), .micro-empty-state CSS (4 uses in 2 files, as load-error geometry — documented preserved), .micro-empty-copy (13 uses/7 files; only Statement's use is in the preserved list — Catalog x4 sections, CorrectionsLayer, FinancePoliciesSection uses undocumented), .micro-empty-inline (4 uses/3 files — NOT in preserved list), .micro-empty-symbol (ErrorBoundary x1). MIGRATION_STATUS preserved-list enumeration is narrower than reality	rg census + MIGRATION_STATUS.md:40-41 preserved items (evidence file)	VERIFIED	dual empty-state systems (task list); MIGRATION_STATUS preserved items	DEEPENS_EXISTING (species count and doc-vs-reality gap sharpened)	DEFER (D-08 family; document-first)	no (doc enumeration fix is Wave-A safe)	add the 3 undocumented species/usages to MIGRATION_STATUS 'Intentionally preserved' table (doc-only); convergence stays owner-gated	revert doc commit
FI1-13	duplication	Token-bridge literals verified: index.css 0 hex outside comments (WS-182 claim holds), 370 rem literals (prior ~369 confirmed within 1), 566 px literals; hex owners = vf-tokens.css 44 + theme-dark.css 48 only; theme-dark rebinding per ADR-009 intact; micro-fab still dead (index.css:759-788, only a test references it) — AUD-022 open	python comment-stripped counts; rg micro-fab (evidence file)	VERIFIED	AUD-022; WS-182 claims (MIGRATION_STATUS); prior token inventory	DUPLICATE (all confirmed)	PRESERVE (AUD-022 stays DEFER per prior)	yes for micro-fab removal (0-consumer proof exists; owner record)	none now	n/a
FI1-14	tokens	TOKEN-CONSUMER-INVENTORY spot-verification (8 rows): --vf-tint values #dce3e5/#353028 exact + 3 direct consumers exact (alias-mediated var(--color-border)=129 vs claimed 127, --color-accent-soft=24 vs 23 — off-by-1/2 undercounts); --vf-action-commit-bg/-ink/-pressed dead at bridge CONFIRMED; --vf-border-soft dead CONFIRMED; --vf-btn-save-bg 2 consumers exact; --vf-info-surface 1 consumer exact; --vf-ink-on-dark 0-direct/chained exact; --vf-btn-secondary-bg 4 total exact; dead bridge tokens 48/130 EXACT match to AUD-013	rg counts + python dead-token scan (evidence file)	VERIFIED	AUD-013; AUD-014; TOKEN-CONSUMER-INVENTORY.tsv rows 6,10,14,16,25,41,44-46,51,57	DUPLICATE (all sampled rows hold; two alias counts off by 1-2)	DEFER (AUD-013/014 unchanged)	no	none now; refresh the two alias counts in the inventory when next touched	n/a
FI1-15	docs	governance record drift cluster confirmed live: PR #159 merged as c0469e2 on 2026-09-13 (241 commits before HEAD) while current-state sections 31-41 and todo.md:116-124 still say 'PR #159 open and unmerged / main at 4af025d' and the four-group umbrella todo:122 is still unchecked; doc-pin tests FREEZE the stale strings (group2ClosureDocs.test.ts:24,48,62,70,85; group6Docs.test.ts todo assertions)	git merge-base --is-ancestor c0469e2 HEAD = true; rg todo.md; doc-pin assertions (evidence file)	VERIFIED	AUD-003; STRUCTURE-SCAN rows 32, 38	DUPLICATE (exact, with merge-proof)	FIX_NOW (docs + test re-baseline; OWNER_DECISION_REQUIRED per prior row)	yes (re-baselining pins rewrites asserted history; owner must choose annotate-vs-update)	Wave A: update closure lines + todo checkbox + re-baseline the pin tests to post-merge truth in one commit	revert docs+tests commit
FI1-16	docs	AGENTS.md numeric-limit drift: section 10 line 130 says '36/28 today' (presented as today's value) vs code truth types.ts:55,71 = 38/30 (two raises behind: FIN-002 budgets 37/29, FIN-001 received-loans 38/30); section 11.3 line 140 says 35/27 (three behind). Code side pinned correctly by group6Docs.test.ts:100-101 and group2ClosureDocs.test.ts:36-37; NO test pins the AGENTS '36/28' string, so the fix is test-safe	AGENTS.md:130,140; types.ts:55,71; group6Docs.test.ts:99-101; rg '36/28' in tests = 0	VERIFIED	AUD-003 cluster; STRUCTURE-SCAN row 31	DUPLICATE (verified; adds test-safety fact)	FIX_NOW (docs-only, Wave A)	no (docs-only; code untouched; section 36 historical 35/27 pins untouched)	update AGENTS.md section 10 to 38/30 with the raise history note; leave section 11.3 historical values clearly labeled or update with annotation	revert docs commit
FI1-17	docs	ARCHITECTURE.md (apps/prototype-web) stale counters extended: '13 domain modules' (line 23) — actual 18 dirs (17 feature + shared; 4 modules added since the 2026-09-10 doc fix: recurring-expense, budget, owner-safe-withdrawal, received-loan); '32 object stores, schema 35' (line 25) — actual 37 stores (indexedDbStores.ts) / schema 38 (types.ts:55); '44 *Service.ts pinned at 9a8c949' (line 22) — actual 53; '40 services wired' — actual 43 new *Service( in the composition root	ARCHITECTURE.md:22-25; ls src/domain; indexedDbStores.ts constants = 37; git ls-files *Service.ts = 53; rg new *Service( = 43	VERIFIED	STRUCTURE-SCAN row 33 (stores/schema/services)	DEEPENS_EXISTING (adds the 13-vs-18 domain-module counter)	FIX_NOW (docs-only, Wave A)	no	update counters to 18 modules / 37 stores / schema 38 / 53 services @ c02fb458 with as-of labels	revert docs commit
FI1-18	docs	current-state.md live-record staleness confirmed: header line 4 'last updated 18/19 Sep 2026 (Wave 4.4)' while section 74 (line 1513) is dated 2026-09-24 — first mandated reading opens 4 waves stale; also two section-62 headings (lines 1089 Wave-2 closeout and 1104 Wave-3) share one number	current-state.md:4 vs :1513; duplicate section 62 at :1089,:1104	VERIFIED	STRUCTURE-SCAN row 24; AUD-003	DUPLICATE (plus minor duplicate-section-62 numbering note)	FIX_NOW (docs-only, Wave A)	no	refresh header date + add pointer to newest section; renumber or annotate the second section 62	revert docs commit
FI1-19	test-mapping	Test-to-page mapping verified: 73 files in pages/ = 60 components + 13 co-located tests covering 11 pages (Catalog 2, FinancialEventEditor 2, OwnerEntitlement 2 incl. OwnerJourneysExe009, + 8 single); 49 pages have no co-located test neighbor (covered only by ~93 root-level journey suites); component dirs with 0 dedicated tests: finance 17 prod (was 14 in prior scan — grew), catalog 4, owner 3, settings 4, security 3, presentation 5, orders 1, direct-sales 1, loans 2, cost 1, ui 1; forms 7/6, layout 4/3, brand 2/3, order 3/1	ls pages/; per-dir census (evidence file)	VERIFIED	STRUCTURE-SCAN rows 28, 30	DUPLICATE (finance 14->17 delta recorded)	DEFER (targeted only, per prior row)	no	none now; add tests only with next functional change per component	n/a
FI1-20	test-mapping	Root-level test cohort still outside ESLint: exactly 93 client/src/*.test.* files match no eslint.config.js block (blocks cover only subdirectories pages/components/app/application/storage/contexts/presentation/pwa/lib), so zero mechanical-boundary rules apply to the largest test cohort; contexts/pwa/lib/presentation covered by a block that applies only no-explicit-any (no boundary rules) — both prior claims verified verbatim	ls client/src/*.test.* = 93; eslint.config.js files globs (lines 123-446)	VERIFIED	STRUCTURE-SCAN rows 14, 15; AUD-012	DUPLICATE (exact)	FIX_NOW (config-only, prior Wave B)	no (mechanical; must stay green at 37-warning cap)	add root-test block mirroring page-test rules (Wave B, batched with FI1-05 rule)	revert eslint.config.js commit
FI1-21	governance	Structural gate status (AGENTS.md section 11 + current-state sections 36-41): post-Group-6 read-only scan DONE+closed (Group 7, external report @ 17b264c — content unverified in this environment); owner accepted findings and approved the four-group remediation plan (Groups 8-11) which is now COMPLETE and MERGED (c0469e2, 2026-09-13); the approved plan is EXHAUSTED — any structural remediation from this audit (file splits, layer moves, convergence waves) requires a FRESH owner decision; standing prohibitions intact: no features/ layer, no splitting IndexedDbLocalStore/MemoryLocalStore/localTransferService/Finance/OrderDetail/Catalog/OwnerEntitlement without an approved wave	AGENTS.md:132-141; current-state.md sections 36-41; git merge-base check (evidence file)	VERIFIED (repo-side) / UNVERIFIED (external scan report content)	STRUCTURE-SCAN rows 32, 37, 38; AGENTS.md section 11	DEEPENS_EXISTING (plan-exhaustion consequence made explicit)	OUT_OF_SCOPE (for this audit: classify only; no remediation authorized)	yes (every structural item)	present this reconciliation to the owner as the input to a fresh gate decision	n/a (no change by this audit)
FI1-22	duplication	NEW minor: latent circular alias pair in index.css — @theme inline block line 38 binds --color-border: var(--border) while :root line 69 redefines --color-border: var(--vf-tint) (wins by cascade) and :root line 108 binds --border: var(--color-border); the @theme<->:root pair forms a would-be cycle (--border->--color-border->--border) that never manifests because the line-69 definition wins; functionally resolved today, fragile to reordering	index.css:38,69,108; theme-dark.css:161	VERIFIED (static reading; no computed-style run)	none (absent from STRUCTURE-SCAN and TOKEN-CONSUMER-INVENTORY)	NEW	PRESERVE (works; register to prevent accidental reorder)	no	record the alias chain order dependency in SOURCE_OF_TRUTH.md token rows when next touched; no code change	n/a
FI1-23	structure	Page-level service construction deviations still present and enumerated: Loans.tsx:58, ReceivedLoanEditor.tsx:86, ReceivedLoanDetail.tsx:62 construct new module.ReceivedLoanService(getPrototypeLocalStore()) outside the composition root (bundle-budget lazy-loading rationale, EXE-014/D-034); Statement.tsx:175 constructs StatementMarkdownService in-page (stateless); ARCHITECTURE.md:28 documents the naming exceptions	rg in pages/ (evidence file); ARCHITECTURE.md:28	VERIFIED	STRUCTURE-SCAN row 26; ARCHITECTURE.md exceptions	DUPLICATE (verified; prior line cites were import lines 20/62/86, constructions at 58/62/86)	PRESERVE (documented)	no	none; count must not grow silently (prior acceptance criterion)	n/a
FI1-24	structure	components/ui/drawer.tsx legacy bridge unchanged: 117L vaul/shadcn drawer, 4 live consumers (RepaymentSheet, ReceivedLoanRepaymentSheet, MaterialSheet, QuickActionSheet — exactly the three sheets named in AUD-005 plus the AUX QuickActionSheet); retirement stays consumer-driven	components/ui/drawer.tsx (117L); rg consumers	VERIFIED	STRUCTURE-SCAN row 4	DUPLICATE	DEFER (retire only when last consumer migrates)	no	zero new consumers (standing criterion)	revert migration commit
FI1-25	routes	Route-guard coverage note: 4 create routes are wrapped in CapabilityCreateGate (orders/draft/:id, suppliers/purchase/:id, inventory/material/new, inventory/movement/:type) matching G-004; renderSmoke navigates with concrete ids so the gate's stopped-capability branch is not exercised by the sweep (STATIC_ONLY observation, no defect claimed)	MicroRouter.tsx:130-136,155-161,177-193; R2.renderSmoke.test.tsx navigateTo	VERIFIED (structure) / STATIC_ONLY (behavior)	G004 capability guard work	NEW (coverage-shape note)	DEFER	no	optional: one dom test per gated route with capability stopped (add with next functional change to those pages)	n/a
