item_id	item	route	viewport	action_sequence	expected	actual	storage_effect	console_or_pageerror	evidence_paths	reproduction_status	evidence_class	notes
F13	delete-confirmation layout at 390px (and 320px)	/orders/draft/new (delete zone)	390x844 @2x then 320x844	second draft «UXFLASH-INVESTIGATION-20260925 مسودة ب» created; click «احذف المسودة»; measure .micro-draft-delete-zone + .micro-form-actions rects + doc overflow; capture at 390 then 320	layout defect at 390 claimed; expected possible overflow/cramping	@390: zone x=33 w=324; actions x=33 w=324 right=357 (full-width stacked buttons, 33px side margins); docOverflowX=false. @320: zone x=33 w=254; actions right=287; docOverflowX=false. Wording «حذف المسودة يزيلها من هذا الجهاز نهائيًا — بلا سبب ولا أثر مالي، لأنها لم تصبح طلبًا. لا يمكن التراجع بعد الحذف.»; buttons «احذف المسودة نهائيًا» (micro-prim-button--secondary — NOT destructive) / «إغلاق» (quiet)	confirm deletion: order-drafts 2->1 (draft ب c794823c removed); URL -> /orders	0 console; 1 pageerror TEST_HARNESS_ARTIFACT (boot census)	evidence/S3/notes/s3-05-notes.json (f13_confirm_wording, f13_confirm_button_styles, f13_layout_390, f13_layout_320); evidence/S3/screenshots/s3-05-0850-f13-delete-confirm-390.png; evidence/S3/screenshots/s3-05-0860-f13-delete-confirm-320.png	NOT_REPRODUCED	VERIFIED	no layout overflow at 390 or 320 (metrics + docOverflowX false at both widths); AUD-006 styling issue REPRODUCED alongside: permanent-delete confirm action is secondary, not destructive
F14	draft close-guard wording vs actual autosave	/orders/draft/new?intent=customer_order&returnTo=%2F	390x844 @2x touch	type «وصف القطعة» = «UXFLASH… مسودة أ»; type quantity 2 + notes; click in-app back; read guard; «ابقَ في الصفحة»; re-type notes; back again; «اخرج دون حفظ»; reopen drafts store	dialog claims nothing autosaves; FI-2 predicts draft-backed editors DO autosave	guard verbatim «تعديلات غير محفوظة / لن يُحفظ شيء تلقائيًا، وإذا أغلقت الصفحة أو التطبيق قبل الحفظ يفقد ما لم تحفظه. / ابقَ في الصفحة / احفظ واستمر / اخرج دون حفظ»; stay preserved quantity «2»; after «اخرج دون حفظ» URL «/» AND the order draft STILL EXISTS (same record 7145c83a «UXFLASH… مسودة أ»)	first input materialized order-drafts 0->1 (census-16, createdAt 00:17:33.553Z); discard did NOT delete it (census-17 unchanged; diff-16-to-17 {}); post-materialization edits (quantity/notes) NOT persisted (updatedAt unchanged) — in-memory only	0 console; 1 pageerror TEST_HARNESS_ARTIFACT (boot census)	evidence/S3/notes/s3-05-notes.json (f14_guard_wording_verbatim, f14_draft_records_after_discard); evidence/S3/censuses/diff-15-to-16-draft-first-input.diff.json; evidence/S3/censuses/diff-16-to-17-after-draft-discard.diff.json; evidence/S3/screenshots/s3-05-0810-f14-draft-close-guard.png; evidence/S3/screenshots/s3-05-0830-f14-after-discard.png	REPRODUCED	VERIFIED	blanket sentence «لن يُحفظ شيء تلقائيًا… يفقد ما لم تحفظه» is FALSE for the first input (draft materialized + survives «اخرج دون حفظ») and TRUE only for post-materialization edits; matches FI-2 FI2-17 (DEEPENS_EXISTING)
F14-DS	direct-sale editor autosave vs «اخرج دون حفظ»	/direct-sales/new?returnTo=%2Forders	390x844 @2x touch	dirty form «UXFLASH… بيع متروك ٢» + price 9.00; in-app back -> guard -> «اخرج دون حفظ»; later runs reopen the editor and see a restore banner	typed data expected lost per dialog wording	typed values PERSISTED in form-drafts direct_sale:new (itemName «UXFLASH-INVESTIGATION-20260925 بيع متروك ٢», revenueMinor 900, createdAt 00:12:40.132Z) and SURVIVE «اخرج دون حفظ»; leftover drafts trigger restore banner «عندك مسودة» on next editor open (seen in s3-03 and s3-03c; source = s3-03b debug leftovers) — banner discard «تجاهلها» removes the draft	form-drafts written by typing (census-13 form-drafts 0->1); «اخرج دون حفظ» did NOT remove it; FINAL census still holds it	0 console; 0 pageerror (s3-03c)	evidence/S3/notes/s3-03-notes.json (sale_form_draft_restore_banner_shown); evidence/S3/notes/s3-03c-notes.json (restore_banner_shown); evidence/S3/censuses/diff-12-to-13-after-f16.diff.json; evidence/S3/notes/s3-08-notes.json (FINAL_SYNTHETIC_RECORDS form-drafts)	REPRODUCED	VERIFIED	strongest F14 contradiction data point: even the explicit discard-exit leaves the autosaved form draft restorable
F15	one edit session -> how many drafts	/orders/draft/new then /orders/draft/{id}	390x844 @2x touch	round 1: single input in new draft editor; round 2: reopen SAME draft, single edit, close-discard; then fresh /orders/draft/new + single input («مسودة ب»)	FI-2 predicts ONE draft per editor session (created on first real input, updated in place); multiple drafts only from multiple sessions	round 1: exactly 1 order draft (7145c83a) after a single input, URL unchanged; round 2: still 1 draft, SAME id, updatedAt UNCHANGED (00:17:33.553Z — round-2 edit not autosaved); new session: order-drafts 1->2 (c794823c «مسودة ب») — a second draft ONLY from the second visit to /orders/draft/new	order-drafts 0->1 (diff-15-16), 1->1 (diff-17-18 {}), 1->2 (diff-18-19), 2->1 after deleting draft ب (diff-19-20)	0 console; s3-05b clean replication: close-after-single-input showed NO guard (single-field change not dirty enough), 0 rejections, 0 pageerrors	evidence/S3/notes/s3-05-notes.json (f15_round1_draft_records, f15_round2_draft_records); evidence/S3/censuses/diff-18-to-19-second-draft.diff.json; evidence/S3/notes/s3-05b-notes.json (drafts_now)	REPRODUCED	VERIFIED	owner-observed «multiple drafts» = one per NEW editor session (by design, contract 36 / decision 21); NOT one-per-edit; no defect — PRESERVE per FI-2 FI2-16; S4 separately found a setup-draft race (autosave-empty discard deletes draft on reload) not re-tested here
F16-A	browser Back on dirty direct-sale form	/direct-sales/new?returnTo=%2Forders	390x844 @2x touch	dirty form («UXFLASH… بيع متروك» + price 9.00); page.go_back(); read guard; press Escape on guard; check typed price	guard intercepts back; stay-first; Escape non-destructive; stay preserves data	guard shown («تعديلات غير محفوظة»); URL stayed /direct-sales/new?returnTo=%2Forders; button order «ابقَ في الصفحة» (secondary) / «احفظ واستمر» (text-action) / «اخرج دون حفظ» (destructive); focused element = «ابقَ في الصفحة» (stay-first); Escape on guard = STAY; typed price preserved «9.00»	none at this step (form draft already persisted by typing; no new writes)	0 console; 0 pageerror this phase	evidence/S3/notes/s3-03-notes.json (f16_browser_back_guard_shown, f16_guard_button_order, f16_guard_focused_element, f16_guard_escape_stays, f16_stay_preserves_price); evidence/S3/screenshots/s3-03-0560-f16-browser-back-guard.png; evidence/S3/screenshots/s3-03-0570-f16-guard-escape-stayed.png	REPRODUCED	VERIFIED	matches FI-2 static (UnsavedChangesGuard 3-choice, history sentinel, Esc=stay); «احفظ واستمر» path not exercised — UNVERIFIED
F16-B	in-app back button on dirty form	/direct-sales/new?returnTo=%2Forders	390x844 @2x touch	clean re-probe (s3-03c): discard restore banner; dirty form «بيع متروك ٢» + 9.00; click .micro-back-button «العمل»; then «اخرج دون حفظ»	guard shown; discard exits to /orders; typed in-memory data gone; form draft retains values	guard SHOWN on the clean probe (first probe in s3-03 was ambiguous: no guard AND no navigation immediately after the browser-back guard had been dismissed with stay — sentinel interplay, mechanism UNVERIFIED); «اخرج دون حفظ» -> URL /orders (form exited); form_gone check false-negative only because the Work page itself contains «تسجيل بيع مباشر» as a section title	typed values retained in form-drafts direct_sale:new (see F14-DS) despite «اخرج دون حفظ»	0 console; 0 pageerror in clean run s3-03c (explicitly noted)	evidence/S3/notes/s3-03c-notes.json (f16c_inapp_back_guard_shown, f16c_url_after_discard); evidence/S3/notes/s3-03-notes.json (f16_inapp_back_guard_shown=false ambiguous first probe); evidence/S3/screenshots/s3-03c-0596-f16c-inapp-back-result.png; evidence/S3/screenshots/s3-03c-0597-f16c-after-discard.png	REPRODUCED	VERIFIED	guarded on the clean probe; typed data «lost» from the live form but recoverable from the autosaved draft — same F14-family wording contradiction
AUD-005-1	RepaymentSheet (loans) dismissal guards	/loans (sheet over loan detail)	390x844 @2x touch	loan 20.00 to «UXFLASH… مستدين» saved; open «سجّل دفعة»; type 5.00; try: X button; outside click (synthetic MouseEvent, then REAL mouse @195,120); Escape; touch swipe-down; «ألغِ»	discard question expected after entering an amount (QuickActionSheet pattern)	NO X button exists (count 0); synthetic overlay click did NOT close (probe limitation — vaul pointer handlers need real input); REAL outside click CLOSED the sheet with NO discard question; Escape closed, NO question; swipe closed, NO question; «ألغِ» closed, NO question — 0/4 effective paths asked	ZERO writes: loans.repayments stayed []; census diff-22-to-23 {}; typed 5.00 lost every time	0 console; 1 pageerror TEST_HARNESS_ARTIFACT (boot census)	evidence/S3/notes/s3-06a-notes.json; evidence/S3/notes/s3-06a2-notes.json (aud005_real_outside_closed_sheet); evidence/S3/censuses/diff-22-to-23-repayment-dismissals.diff.json; evidence/S3/screenshots/s3-06a-0930-repayment-sheet-typed-5.png; evidence/S3/screenshots/s3-06a2-0937-repayment-after-real-outside-click.png	REPRODUCED	VERIFIED	browser-confirms FI-2 static (RepaymentSheet.tsx L73 onOpenChange -> onClose immediately); AUD-005 FIX_NOW stands; sheet copy honest («السداد يرفع الكاش ويخفض المتبقي — ليس إيرادًا جديدًا ولا ربحًا»)
AUD-005-2	ReceivedLoanRepaymentSheet dismissal guards	/loans -> received-loan detail (sheet)	390x844 @2x touch	received loan 10.00 from «UXFLASH… مقرض» saved; open «سجّل دفعة سداد أصل»; type 2.00; try X; real outside click; Escape; swipe; «ألغِ»	discard question expected after entering an amount	NO X button (count 0); outside click closed, NO question; Escape closed, NO question; swipe executed + closed, NO question; «ألغِ» closed, NO question — 0/4 asked	ZERO writes: received-loans.repayments stayed []; census diff-25-to-26 {}	0 console; 0 pageerror (final s3-06b execution)	evidence/S3/notes/s3-06b-notes.json (received_* keys); evidence/S3/censuses/diff-25-to-26-received-dismissals.diff.json; evidence/S3/screenshots/s3-06b-0942-received-repayment-sheet-typed.png; evidence/S3/screenshots/s3-06b-0944-received-after-swipe.png	REPRODUCED	VERIFIED	sheet copy honest («السداد ينزل الكاش وينزل الالتزام — ليس مصروفًا ولا يمس نتيجة الفترة»); received-loan creation itself requires explicit lender type («اختر نوع المُقرض صراحةً… لا يُخمَّن») — save correctly blocked without it (s3-06b2: no record written)
AUD-005-3	MaterialSheet (cost step) dismissal guards	/orders/draft/{id}/cost (sheet)	390x844 @2x touch	open cost editor of draft أ; «إضافة مادة»; fill «المادة»=«UXFLASH… مادة», qty 1, unit cost 3.00; try X («إغلاق إضافة المادة»); real outside click; Escape; swipe; «إلغاء»	discard question expected after entering money	X («إغلاق إضافة المادة») closed, NO question; outside closed, NO question; Escape closed, NO question; swipe closed, NO question; «إلغاء» closed, NO question — 0/5 asked	ZERO writes: draft costSnapshots stayed 0; census diff-26-to-27 {}	0 console; 0 pageerror (final s3-06b execution)	evidence/S3/notes/s3-06b-notes.json (material_* keys, drafts_after_material_dismissals); evidence/S3/censuses/diff-26-to-27-material-dismissals.diff.json; evidence/S3/screenshots/s3-06b-0951-material-sheet-typed-3.png; evidence/S3/screenshots/s3-06b-0952-material-after-x.png	REPRODUCED	VERIFIED	silent discard of in-sheet material entry (MaterialSheet.tsx L44 + CostEditor L443-449 per FI-2); AUD-005 totals: 0/13 money-sheet dismissal paths asked, vs QuickActionSheet which always asks
ESTIMATE	estimate flow 2×3.25÷4	/tools/calculator -> /tools/estimate/{id}	390x844 @2x touch	calculator: title «UXFLASH… تقدير»; material «UXFLASH… خشب» qty 2 unit price 3.25; «عدد القطع» 4; «احفظ التقدير لمراجعته لاحقًا»; open detail	estimate math 2×3.25=6.50 planned; 6.50÷4=1.625 -> unit 1.63; honest estimate-vs-final labeling	detail: «حُفظ في 25/09/2026 · حالة المعرفة: ناقصة»; «سعر الحماية المقترح للقطعة غير متوفر بعد»; «تكلفة القطعة المتوقعة: 1.63 · الإجمالي المتوقع: 6.50 · عدد القطع الناتجة: 4»; «هذا التقدير أداة تفكير — لا حدث مالي ولا مخزون ولا التزام مرتبط به»; actions «ابدأ مسودة من هذا التقدير» / «عدّل التقدير» / «احذف التقدير»; calculator exposes no division operator — division expressed as output pieces (has_division_operator=false)	cost-estimates +1 ONLY (plannedCostMinor 650, unitCostMinor 163, priceFloorMinor 163, knowledgeState incomplete, time null); no financial-events / inventory / orders	0 console; 0 pageerror (s3-08 executions)	evidence/S3/notes/s3-08-notes.json (estimate_detail_text_head, FINAL_SYNTHETIC_RECORDS cost-estimates); evidence/S3/censuses/diff-28-to-29-estimate-save.diff.json; evidence/S3/screenshots/s3-08-1110-calculator-filled-2x3.25-div4.png; evidence/S3/screenshots/s3-08-1130-estimate-detail.png	REPRODUCED	VERIFIED	math matches yardstick (6.50 / 1.63); estimate clearly separated from final records; zero financial effect (FI-2 §8 positive verification confirmed in browser); first s3-08 execution created the estimate 03:28:54, final execution was idempotent-skip
NOTFOUND	unknown routes NotFound	/this-route-does-not-exist-xyz; /finance/definitely/not/a/route	390x844 @2x touch	direct goto two unknown URLs	Arabic NotFound page with safe return	«مسار غير متاح / هذه الصفحة ليست جزءًا من هذا الإصدار / العودة إلى مشروعي الآن» + bottom nav (مشروعي الآن/العمل/المالية/أدواتي/السوق); deep /finance/... route renders the same NotFound; URL preserved	none (no writes)	0 console; 0 pageerror (s3-08)	evidence/S3/notes/s3-08-notes.json (notfound_text); evidence/S3/screenshots/s3-08-1140-notfound-390.png; evidence/S3/screenshots/s3-08-1141-notfound-deep-390.png	REPRODUCED	VERIFIED	deep-nested unknown route also caught (no blank screen)
SILENCE	network silence + disposability (all runs)	https://micro-prototype.pages.dev (all routes)	390x844 @2x (+ s3-07 widths)	all 18 logged runs; request capture on every run; per-window and aggregate assertions	100% GET; zero POST/PUT/PATCH/DELETE; zero requests carrying synthetic strings	2953 requests total across request logs, methods {GET: 2953}, data_bearing 0, synthetic_leaks 0; boot silence window 190/190 GET	ALL writes in profile IndexedDB «micro-prototype-local» only (localStorage empty at every census); profile 7,339,025 bytes (~7.3 MB) deleted after censuses copied out	0 console messages of ANY type across all 18 runs; 8 pageerror events all TEST_HARNESS_ARTIFACT (see summary pageerror section)	evidence/S3/request-totals.json; evidence/S3/requests/s3-01-silence-window.json; evidence/S3/notes/s3-01-notes.json (silence_setup-gate-window); evidence/S3/profile-size-and-cleanup.json; evidence/S3/console-totals.json	REPRODUCED	VERIFIED	DISPOSABLE_LOCAL_ONLY: app never sent data off-device during the entire populated session; bookkeeping note: 2953 includes s3-01-silence-window.json (190) duplicating the first 190 of s3-01-requests.json — unique ≈2763; verdict unaffected
