ID	category	source_reports	evidence_class	reproduction_status	affected_route_component_module	user_impact	financial_data_security_impact	classification	owner_decision_required	minimum_safe_next_step	dependencies	acceptance_criteria	rollback_boundary	relation
FI-012	ux-copy	FI-4(FI4-035)	VERIFIED	REPRODUCED(runtime)	AppHeader logo-menu account label	after setup completion the account entry still reads «أكمل إعداد الحساب»	none	DEFER	NO	conditional label once owner-profile exists	none	dom test asserts post-setup label	string revert	NEW
FI-013	interaction-a11y	FI-4(FI4-011)	VERIFIED	STATIC_ONLY (runtime visual confirmed prior VIS pass)	index.css suggest-chip [aria-pressed=true] identical to :hover	selection ambiguity (WCAG 1.4.1)	none	FIX_NOW	NO	non-color cue (weight/dot) per ChoiceRow contract (standing AUD-004 remediation)	AUD-004	guard assertion selected≠hover	CSS revert	DUPLICATE (AUD-004)
FI-014	interaction-semantics	FI-3(F13); FI-4(FI4-012)	VERIFIED	REPRODUCED	DraftEditor.tsx permanent-delete confirm	button says «احذف المسودة نهائيًا» in secondary ink	while irreversible delete reads as ordinary action	FIX_NOW	NO	action="destructive" (standing AUD-006 remediation)	AUD-006	snapshot/guard asserts destructive on delete confirms	one prop revert	DUPLICATE (AUD-006)
FI-015	qa-tests	FI-1(FI1-02); FI-5	VERIFIED	STATIC_ONLY	R2.renderSmoke.test.tsx vs MicroRouter.tsx	9 route patterns unsmoked: /finance/recurring ×4 + /finance/more + /finance/upcoming + /loans/received ×2 + owner_withdrawal_cash redirect (count correction: recurring ×4 not ×3)	test net hole on newest families	FIX_NOW	NO	add the 9 patterns; fix the "(55)" comment	AUD-002	suite enumerates all 65; comment matches	single test-file revert	DUPLICATE (AUD-002; recurring count corrected)
FI-016	diagnostics	FI-1(FI1-03)	VERIFIED	STATIC_ONLY	localDiagnosticsService ROUTE_TEMPLATES (frozen 2026-09-11 f6565a9); SOURCE_OF_TRUTH.md:38	diagnostics attribute 10 routes as /unknown (/market + the 9 renderSmoke gaps); sync claim has no enforcing test degraded crash attribution on newest routes	none	FIX_NOW	NO	regenerate ROUTE_TEMPLATES from the router + add a drift test (or generate at build time)	AUD-002 (same lag family)	test fails when router and templates diverge	test+service revert	NEW
FI-017	governance-docs	FI-1(FI1-15..18); FI-5	VERIFIED	STATIC_ONLY	AGENTS.md:130; ARCHITECTURE.md; current-state.md §3.1/§31-41/§74; CHANGELOG.md; group2-6Docs doc-pin tests	records trustworthiness: PR #159 merged (c0469e2, 241 commits ago) but docs+tests pin "open"; schema/export 36/28 vs 38/30; 13→18 modules; 32→37 stores; 44→53 services; CHANGELOG missing 11 waves	none (records only)	FIX_NOW	YES (re-baseline scope)	one docs wave + doc-pin re-baseline in same PR (CHANGE_PROTOCOL pattern; standing AUD-003 remediation — now with extended counter list)	AUD-003	numbers and merge status match code; doc-pin tests assert current truth	docs commit revert	DEEPENS_EXISTING (AUD-003)
FI-018	architecture	FI-1(FI1-07,08,09)	VERIFIED	STATIC_ONLY	index.css 6837 lines; .micro-field-error dual defs :1052+:4219	dual live error styles; monolith maintainability	none	FIX_NOW-partial	NO	consolidate the dual definition now (WS-183 computed-style guard pattern); family extraction behind owner gate (standing AUD-016)	AUD-016	computed-style guard green; no visual delta	CSS commit revert	DUPLICATE (AUD-016; 6838→6837 line-count corrected)
FI-019	lint-boundaries	FI-1(FI1-05); FI-5	VERIFIED	STATIC_ONLY	eslint.config.js:249-270; presentation/catalogPresentation.ts:9 (englishNumeric leaf import); 93 root test files unguarded; 5 production reverse imports	root cause of the application⇄presentation reverse imports identified: englishNumeric (pure leaf) housed in application/	boundary enforcement holes	FIX_NOW (config + leaf move)	YES (direction declaration)	move englishNumeric to a shared leaf layer + add globs + declare presentation rule (standing AUD-012 with root cause)	AUD-012	fixture tests pass incl. new globs; reverse imports 0	config+move revert	DUPLICATE/DEEPENS_EXISTING (AUD-012; root cause new)
FI-020	qa-tests	FI-5	VERIFIED	STATIC_ONLY	stateAdapter tests; OD-02	OD-02 partial tone only swept (isPermissibleTone) never directly asserted	tone-revert protection gap	FIX_NOW	NO	one-line direct assertion (standing AUD-010)	AUD-010	test fails on tone revert	test-only revert	DUPLICATE (AUD-010)
FI-021	docs	FI-5	VERIFIED	STATIC_ONLY	docs/00-document-index.md	17 architecture docs unindexed (8 files + ADRs)	discoverability	FIX_NOW	NO	add index entries (docs-only; standing AUD-026)	AUD-026	index lists architecture docs	docs revert	DUPLICATE (AUD-026)
FI-022	tokens	FI-1(FI1-22)	VERIFIED	STATIC_ONLY	index.css:38 (--color-border: var(--border)) vs :root:69 redefinition	latent circular alias pair; no current visual effect	none	PRESERVE (register only)	NO	register in token inventory; resolve inside AUD-013/014 owner-gated wave	AUD-013/014	alias documented	guard note	NEW (latent)
FI-023	duplication	FI-1(FI1-11,12)	VERIFIED	STATIC_ONLY	empty-state family (5 species); row family (4 species)	family counts sharpened vs docs (2 species documented)	none	DEFER	YES (convergence is owner-gated)	fold counts into AUD-015 convergence decision	AUD-015	convergence contract + guards	per-slice reverts	DEEPENS_EXISTING (AUD-015 family)
FI-024	financial-core	FI-2 (all 26 traces)	VERIFIED	STATIC_ONLY+browser cross-check	all 11 AGENTS.md §6 invariants across direct-sale/craft-order/loan/received-loan/owner/cash/inventory paths	THE FINANCIAL CORE IS SOUND: receipt≠profit; deposit≠profit; debt=receivable; delivery≠auto-receipt; purchase≠COGS; owner/loan≠sales/expenses; missing cost=unknown never zero; snapshot frozen; needs_review domain-enforced (7 guarded ops; sole exit reverseDelivery with reason+reversesEventId); cancelOrder reason+deposit settlement; full-prepay→settled	all mismatches found are display/wording/guard-layer (FI-001..FI-005); zero money-semantics defects	PRESERVE	NO	none — preserve; treat display findings as explanation-layer only	none	invariants remain green in existing suites (reviewLockBoundary 3/3; exact-values 6/6 re-run PASS)	n/a	NEW (positive verification result)
FI-025	financial-write-safety	FI-2(FI2-06); FI-3(F4-A,B); FI-4(FI4-016,030)	VERIFIED	REPRODUCED	all editors: page guards L612-655 → service guards → domain createFinancialEvent → store idempotent put	invalid submit writes NOTHING (browser-proven census-diff); valid submit → honest receipt «الضغط مرتين لا يضاعف أثرًا»; double-click 53.8ms → exactly 1 record; reload-mid-submit either committed or absent	none — write path is safe	PRESERVE	NO	none	none	existing guards + runtime evidence	n/a	NEW (positive verification result; F4)
FI-026	navigation	FI-3(F11); FI-4(FI4-015)	VERIFIED	NOT_REPRODUCED (as defect)	Work empty-state CTA «سجّل أول بيع» → /direct-sales/new?returnTo=/orders	CTA performs the promised writer navigation (not scroll-only); zero writes en route	none	PRESERVE	NO	none	none	n/a	n/a	NEW (F11 resolved: no defect)
FI-027	layout	FI-3(F13)	VERIFIED	NOT_REPRODUCED (as layout defect)	DraftEditor delete-confirmation dialog at 390px and 320px	dialog fits (content zone 324px @390; 254px @320); no overflow	none	PRESERVE	NO	none (AUD-006 ink issue tracked separately as FI-014)	none	n/a	n/a	NEW (F13 resolved: no layout defect)
FI-028	drafts	FI-2(FI2-16); FI-3(F15)	VERIFIED	REPRODUCED (as design)	DraftEditor ensureMaterialized; draftService create/save	one draft per editor session created on first real input; updated in place; edits within a session do NOT multiply drafts; second session → second draft; delete honored	none	PRESERVE	NO	none (F15 verdict: working as designed)	none	existing draft tests	n/a	NEW (F15 resolved: no defect)
FI-029	navigation-safety	FI-3(F16-A,B); FI-2 cross-trace	VERIFIED	REPRODUCED	browser Back + in-app back on dirty forms; UnsavedChangesGuard history registration	both paths guarded; stay-first focused; Esc=stay; stay preserves typed data; discard exits but data remains restorable via autosaved draft (ties FI-004 wording)	none	PRESERVE	NO	none	none	existing guard suite (4 files) re-run PASS	n/a	NEW (F16 resolved: guards work; wording contradiction tracked as FI-004)
FI-030	estimates	FI-2(FI2-15); FI-3(ESTIMATE)	VERIFIED	REPRODUCED	CostCalculator; costEstimateService; craft-order policies (materialItemCostMinor roundHalfUp; unitCostCeilingMinor ceil)	2×3.25=6.50 planned; unit 1.63 (ceil); knowledge «ناقصة»; «أداة تفكير — لا حدث مالي» — estimate honestly separated from financial events	cost-estimates store only; zero financial effect	PRESERVE	NO	none	none	existing U-004 tests	n/a	NEW (positive verification result)
FI-031	security-local-first	FI-3(silence); FI-5(security scan)	VERIFIED	REPRODUCED	whole app; diagnostics micro.diagnostics.v1	2953 requests 100% GET / 0 data-bearing / 0 synthetic leaks across 18 browser runs; diagnostics local-only bounded (25 entries/48kB, 8 fields, zero network calls in prod code); zero secrets in source/dist/live bundle local-first honesty is functional; no exfiltration path	found: none	PRESERVE	NO	none	none	periodic secret scan in CI (optional)	n/a	NEW (positive verification result)
FI-032	platform-a11y-pass	FI-4(FI4-005..008,010,022..024,032)	VERIFIED	REPRODUCED(runtime)	touch targets; reduced motion; bdi money; focus ring; keyboard menu; bottom-nav aria	touch floors 0 sub-44px @320+412 across 5 surfaces; prefers-reduced-motion collapses transitions to ~0s at runtime; money in bdi dir=ltr Plex Mono; focus ring 2px offset; logo-menu full keyboard pattern; exactly one aria-current per surface	none	PRESERVE	NO	optional: bottom-nav <a href> semantics (middle-click/URL) — owner taste	n/a	n/a	n/a	NEW (positive re-verification of VIS-008/VIS-009-125%/VIS-013 + focus/error-association)
FI-033	performance	FI-4(FI4-027..031)	VERIFIED	REPRODUCED(runtime)	cold/warm loads; route changes; bundle	cold FP 116ms / FCP 220-232ms; warm FCP 108ms transferSize 0 (SW); route ~440ms with honest role=status loading text; main JS 649,740B → 153,744B gzip (within 650k/155k budget); CSS 168,692B → 24,213B good owner-perceived performance on phone-class hardware	none	PRESERVE	NO	none	none	budget guards (group6Docs pins) stay green	n/a	NEW (positive verification result; VIS-014 route-loading gap closed with measured evidence)
FI-034	fout-reclassification	FI-4(FI4-028)	VERIFIED	REPRODUCED(runtime frames)	fonts.css; Alexandria-VF.woff2	FOUT NOT OBSERVED: VF loads ~281ms before user-visible text; all fonts local; warm loads instant	none	DEFER (reclassify AUD-011 FIX_NOW→DEFER)	NO	optional rel=preload to harden slow networks	index.html one tag	frame capture shows no flash	n/a	DEEPENS_EXISTING (AUD-011 → reclassify; see corrigerendum)
FI-035	audit-integrity	FI-3(pageerror diagnosis); FI-4(FI4-033)	VERIFIED	REPRODUCED(diagnosis replicated)	S3 harness censuses; Finance content-visibility readings	8/8 pageerror events = TEST_HARNESS_ARTIFACT (about:blank SecurityError during pre-navigation censuses; 14 navigate-first runs clean); Finance "empty h2" = content-visibility artifact — both recorded to prevent future false positives none	none (audit process only)	PRESERVE	NO	document in corrigerendum; require navigate-first census protocol	n/a	n/a	n/a	NEW (audit-integrity; mirrors AUD-000/VIS-018 lesson)
FI-036	populated-states	FI-3(s3-07/08 + census-30)	VERIFIED	REPRODUCED(runtime)	4 surfaces + 6 deep routes populated @320/360/390/412/430 + dark	VIS-015 gap closed: populated-state review EXECUTED with synthetic data (12 records/11 stores; cash math reconciles: +12.75 −2.50 drawer, net cash 10.25 declared)	none (all synthetic; DISPOSABLE_LOCAL_ONLY)	PRESERVE	NO	none	none	n/a	n/a	DEEPENS_EXISTING (VIS-015 NOT_EXECUTED → EXECUTED this investigation)
FI-037	navigation-tension	FI-4(FI4-014)	VERIFIED	STATIC_ONLY	Home.tsx:365,648 (action=save CTAs navigating)	W4/NAV-SAVE-CLASS: navigation CTAs wearing save ink on Home (recorded tension; not mislabeled as AUD-012)	none	DEFER	YES (standing W4 decision)	await W4 owner decision (unchanged)	W4	decision recorded	per-CTA prop revert	DUPLICATE (standing W4; explicitly not AUD-012)
FI-038	standing-defers	FI-1; FI-2; FI-4; FI-5 spot re-verifications	VERIFIED	STATIC_ONLY	AUD-001/013/014/015/017/018/019/020/021/023/024/025 all re-confirmed unchanged at c02fb458 (dead tokens 48/130 exact; Field 0-consumer vs 495 inline; knowledge-coloring duality; copy-density outliers; catalog stop chips; offline axis absent+honest)	as recorded in prior audit	none	DEFER	YES (as recorded)	per-item owner gates unchanged (AUD register)	prior AUD rows	prior acceptance criteria	n/a	DUPLICATE (prior register stands)
FI-039	device-gates	FI-4(FI4-026); FI-3 (swipe physics)	NOT_EXECUTED	NOT_EXECUTED	TalkBack/VoiceOver; Android Back; real swipe-dismiss physics; real-device font scaling; real spinner; external users	no real-device evidence this wave	none	OUT_OF_SCOPE (this wave)	YES (gates stand)	preserve DEVICE-001/UAT-001 gates; device-lab session for FI-008/FI-029 verification	DEVICE-001/UAT-001	gate criteria as recorded	n/a	DUPLICATE (VIS-017 gates preserved)
FI-040	f-series-undefined	FI-5 (dedup); brief	NOT_APPLICABLE	STATIC_ONLY	F12 / F22 / F5-F10 / F17-F21 / F23	referenced without definitions in available evidence; F22-adjacent quick-tile observations recorded under FI-037/FI-018 contexts; repo's own wave-4.2 F01-F14 ID namespace collides — reconciliation table marks DEFINITION_MISSING	none	n/a	OUT_OF_SCOPE	YES (owner may supply Flash walkthrough definitions)	owner supplies definitions → map to existing findings or open new IDs	n/a	n/a	VERIFICATION_GAP (definitions missing)
