O-04	screens	OUT_OF_SCOPE	GLB-LOGOUT (local-first; no session)	Section 9 row 6	none	unless cloud auth
O-05	screens	OUT_OF_SCOPE	Market offering invention (GAP-005)	MKT rows	none	never
O-06	scope	OUT_OF_SCOPE	Any domain/data/storage/export/financial-logic change	Phase 0 decision 4	none	never
O-07	state-grammar	OUT_OF_SCOPE	دخل/خرج direction-word transfer; review-word reuse for unknowns	S4-08	none	never
O-08	financial	OUT_OF_SCOPE	Studio sale-impact fixture values as financial logic (GAP-004)	fixtures/ops-sale-create.json	none	never
OD-01	action-brand	OWNER_DECISION_REQUIRED	Adopt V2 Action #A94630+white; re-classify primary/create/FAB; focus color; pressed-brand choice	SOURCE_OF_TRUTH:7; frozen tests	before Wave 1	Wave 0/1
OD-02	state-semantics	OWNER_DECISION_REQUIRED	Semantic tone remap (info-blue -> info/attention/partial; add partial tone; fate of --vf-status reviewed role)	stateAdapter tests	before Wave 1	Wave 0/1
OD-03	typography	OWNER_DECISION_REQUIRED	Font strategy (family; mono numeric contract; subsetting; payload; rem-ladder re-freeze)	NUMERIC_SLOT_CONTRACT; assets/fonts	before Wave 1	Wave 0/1
OD-04	financial	OWNER_DECISION_REQUIRED	Money display format (minus glyph; decimals; unit placement; spoken label)	formatters.ts; tokens.ts	before Wave 1/2	Wave 0
OD-05	financial	OWNER_DECISION_REQUIRED	Loss/negative semantics (amber attention vs danger red + خسارة)	index.css:2246; ResultBlock	before Wave 2	Wave 0
OD-06	financial	OWNER_DECISION_REQUIRED	Result-card verdict words & naming (contract 05 3.2.1 conflict; brand-strong result card)	contracts/05:54-67	before Wave 2	Wave 0
OD-07	state-semantics	OWNER_DECISION_REQUIRED	Due-today coloring (frozen neutral vs V2 amber)	stateAdapter.test.ts:99-102	before Wave 2	Wave 0
OD-08	vocabulary	OWNER_DECISION_REQUIRED	State vocabulary reconciliation (غير معروف ban; review word; new V2 words)	Section 11.2	before Wave 1/2	Wave 0
OD-09	architecture	OWNER_DECISION_REQUIRED	Finance/Home structural sequencing vs open Group-11 final owner gate	AGENTS 11; current-state 40	before Wave 3	Wave 0
OD-10	shell	OWNER_DECISION_REQUIRED	Header philosophy (logo vs no-logo; account panel vs menu; nav height)	NAVIGATION-MAP 11.7; AppHeader	before Wave 2/3	Wave 0
OD-11	performance	OWNER_DECISION_REQUIRED	Bundle strategy (dynamic-load offsets vs owner cap raise)	check-bundle-budget.mjs; R-04	before Wave 1	Wave 0
OD-12	product	OWNER_DECISION_REQUIRED	Accept this mapping (Wave 0 gate); OVR-SNAPSHOT-ALL product decision (ISS-005)	Section 16; CSV row 12	now	Wave 0
